Project_webSummary, Project Title, Project N�, Project Website, Year Of Finance, Lead Partner Country, Type Of Beneficiary, Country, Themes, Keywords, Habitats, Species
index.cfm?fuseaction=search.dspPage&n_proj_id=6861,LIFECOASTadapt - Coastal adaptation to climate change by multiple ecosystem-based measures,LIFE17 CCA/SE/000048,,2017,SE,Regional authority,Sverige,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6707,"LIFE DELIVER - Developing resilient, low-carbon and more livable urban residential area",LIFE17 CCA/SK/000126,,2017,SK,Local authority,Slovakia Slovensko,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6718,LIFE_SF6-FREE - Demonstration and validation of two economic viable climate-friendly alternatives for SF6 FREE high-voltage applications,LIFE17 CCM/BE/000113,,2017,BE,International enterprise,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6719,LIFE Smart Oxy-Boost - Smart oxygen boosting for reducing energy consumption and emissions of glass melting furnaces,LIFE17 CCM/BG/000069,,2017,BG,Large enterprise,Bulgaria Balgarija,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6723,LIGNOBIOLIFE - Development of high value-added bioproducts from forest waste through microwave technology,LIFE17 CCM/ES/000051,,2017,ES,NGO-Foundation,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6814,LIFE ClimaMed - Innovative technologies for climate change mitigation by Mediterranean agricultural sector,LIFE17 CCM/GR/000087,,2017,GR,Research institution,Ellas,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6721,LIFE ZEROGWP - The first double duct residential air conditioner with near-to-zero Global Warming Potential natural refrigerant,LIFE17 CCM/IT/000026,,2017,IT,Large enterprise,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6720,LIFE AGRESTIC - Reduction of Agricultural GReenhouse gases EmiSsions Through Innovative Cropping systems,LIFE17 CCM/IT/000062,,2017,IT,SME Small and medium sized enterprise,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6815,"LIFE4HeatRecovery - Low Temperature, Urban Waste Heat into District Heating and Cooling Networks as a Clean Source of Thermal Energy",LIFE17 CCM/IT/000085,,2017,IT,Research institution,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6816,LIFE C4R - Carbon 4 Retails' refrigeration,LIFE17 CCM/IT/000120,,2017,IT,International enterprise,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6817,SEA FOREST LIFE - Posidonia meadows as carbon sinks of the Mediterranean,LIFE17 CCM/IT/000121,,2017,IT,Professional organisation,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6722,LIFE BIOBCOMPO - Lightweight bio-based polymer composites for lower emission vehicles,LIFE17 CCM/PL/000049,,2017,PL,International enterprise,Poland Polska,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6724,SUNALGAE for LIFE - SUNALGAE - Innovative process of enhancing the efficiency of solar panels through the use of algae,LIFE17 CCM/SE/000050,,2017,SE,Large enterprise,Sverige,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6731,LIFE CoWaCo - LIFE Communal and organic waste conversion,LIFE17 ENV/DE/000267,,2017,DE,Large enterprise,Deutschland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6858,"LIFE PEPPCYCLE - Demonstration of a closed loop recycling process for HDPE, preparing EU replications, and transferring to PP recycling",LIFE17 ENV/DE/000450,,2017,DE,International enterprise,Deutschland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6758,LIFE BAUXAL-II - Valorization towards a circular economy of Al by-products in refractory industry as alternative to CRM Bauxite,LIFE17 ENV/ES/000160,,2017,ES,International enterprise,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6755,LIFE PST-SORT - Demonstration of a Post-Shredding Technology (PST) for the recovery of raw materials from Automotive Shredder Residues,LIFE17 ENV/ES/000168,,2017,ES,Large enterprise,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6750,LIFE OLEA REGENERA - Valorization of bio-waste resulting from the olive oil extraction process,LIFE17 ENV/ES/000189,,2017,ES,Large enterprise,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6781,LIFE WASTE4GREEN - SUSTAINABLE AND GREEN AGRI-WASTE BASED BIOPESTICIDES,LIFE17 ENV/ES/000192,,2017,ES,Research institution,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6762,LIFE AQUAPEF - Promote the effective implementation of the Product Environmental Footprint in the Mediterranean aquaculture sector,LIFE17 ENV/ES/000193,,2017,ES,NGO-Foundation,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6763,LIFE AgRemSO3il - Agrochemical remediation of farm soils by combining solarization and ozonation techniques,LIFE17 ENV/ES/000203,,2017,ES,Research institution,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6782,PERFECT LIFE - PEsticide Reduction using Friendly and Environmentally Controlled Technologies,LIFE17 ENV/ES/000205,,2017,ES,Research institution,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6764,LIFE BIOTAWEE - BIOLEACHING OF WEEE WASTES FOR THE RECOVERY OF VALUABLE METALS,LIFE17 ENV/ES/000216,,2017,ES,Large enterprise,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6759,"LIFE 5REFRACT - SYSTEMATIC AND INTEGRAL VALORIZATION OF REFRACTORIES UNDER THE ""5R"" APPROACH",LIFE17 ENV/ES/000228,,2017,ES,Large enterprise,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6760,LIFE4FILM - POST-CONSUMPTION FILM PLASTIC RECYCLING FROM MUNICIPAL SOLID WASTE,LIFE17 ENV/ES/000229,,2017,ES,Large enterprise,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6754,LIFE REFOREST - Erosion prevention and flora REstauration of burnt FOREST areas through innovative fungal-technosol solution,LIFE17 ENV/ES/000248,,2017,ES,Research institution,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6767,LIFE NEXUS - Boosting the sustainability of the urban water cycle: energy harvest in water industry using micro-hydropower technology,LIFE17 ENV/ES/000252,,2017,ES,Research institution,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6765,LIFE SURFING - SURFactant enhanced chemical oxidation for remediatING DNAPL,LIFE17 ENV/ES/000260,,2017,ES,Regional authority,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6757,LIFE SOLIEVA - Circular economy applied to the treatment of table olives brines based on solar evaporation,LIFE17 ENV/ES/000273,,2017,ES,Research institution,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6783,LIFE REWEART - A 100% real circular economy process for vegane-organic-recycled footwear,LIFE17 ENV/ES/000290,,2017,ES,Large enterprise,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6784,LIFE REMINE-WATER - New water solutions for the mining industry: towards minimum liquid discharge and by-product recovery,LIFE17 ENV/ES/000315,,2017,ES,Research institution,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6840,LIFE ReNaturalNZEB - Recycled and Natural Materials and Products to develop nearly zero energy buildings with low carbon footprint,LIFE17 ENV/ES/000329,,2017,ES,Regional authority,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6753,LIFE Multi-AD 4 AgroSMEs - High performance multiphase anaerobic reactor for agroindustrial wastewater treatment,LIFE17 ENV/ES/000331,,2017,ES,Large enterprise,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6761,LIFE GREEN SEWER - Innovative Secondary Wastewater Treatment with REsource REcovery,LIFE17 ENV/ES/000341,,2017,ES,Development agency,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6756,LIFE iBATHWATER - Advanced urban water management to efficiently ensure bathing water quality,LIFE17 ENV/ES/000396,,2017,ES,Research institution,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6766,LIFE NANOBUBBLES - Demonstrating Nanobubbles Technology for more Sustainable and Efficient Urban Wastewater Treatment,LIFE17 ENV/ES/000434,,2017,ES,Large enterprise,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6751,LIFE CIRC-ELV - Boosting circular economy of plastics from end-of-life vehicles through recycling into high added-value applications.,LIFE17 ENV/ES/000438,,2017,ES,Professional organisation,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6752,LIFE AGRICLOSE - Improvement and disclosure of efficient techniques for manure management towards a circular and sustainable agriculture.,LIFE17 ENV/ES/000439,,2017,ES,Regional authority,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6728,"Green Foundry LIFE - Inorganic binder system to minimize emissions, improve indoor air quality, purify and reuse of contaminated foundry sand",LIFE17 ENV/FI/000173,,2017,FI,Large enterprise,Finland Suomi,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6730,LIFE-AGESCIC - Achieve Good Environmental Status for Coastal Infrastructures Construction,LIFE17 ENV/FR/000233,,2017,FR,Public enterprise,France,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6729,LIFE SMART IN'AIR - Smart indoor air monitoring network to reduce the impacts of pollutants on environment and health,LIFE17 ENV/FR/000330,,2017,FR,SME Small and medium sized enterprise,France,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6785,LIFE – ADSORB - A performing Depollution System for Runoff water preserving Biodiversity,LIFE17 ENV/FR/000398,,2017,FR,Local authority,France,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6786,LIFE GYR - LIFE GreenYourRoute: A European innovative logistic platform for last mile delivery of goods in urban environment.,LIFE17 ENV/GR/000215,,2017,GR,University,Ellas,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6732,LIFE GAIA Sense - Innovative Smart Farming services supporting Circular Economy in Agriculture,LIFE17 ENV/GR/000220,,2017,GR,SME Small and medium sized enterprise,Ellas,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6733,LIFE NanoEXPLORE - Integrated approach for exposure and health effects monitoring of engineered nanomaterials in workplaces and urban areas,LIFE17 ENV/GR/000285,,2017,GR,Large enterprise,Ellas,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6787,LIFE CAT4HEAVY - Nano-CATalysts for HEAVY Duty Applications,LIFE17 ENV/GR/000352,,2017,GR,Local authority,Ellas,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6788,LIFE PureAgroH2O - Pollutant Photo-NF remediation of Agro-Water,LIFE17 ENV/GR/000387,,2017,GR,Research institution,Ellas,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6789,"LIFE EcoSens Aquamonitrix - Enhanced Portable Sensor for Water Quality Monitoring, moving to genuinely integrated Water Resource Management",LIFE17 ENV/IE/000237,,2017,IE,SME Small and medium sized enterprise,Ireland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6838,Dublin Urban Rivers LIFE - To demonstrate the effectiveness of stormwater improvement options in urban areas using proven decision making tools,LIFE17 ENV/IE/000281,,2017,IE,Local authority,Ireland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6736,LIFE-BIOPAINT - LIFE-BIOPAINT - An innovative and sustainable continuous process for the development of novel bio based paints,LIFE17 ENV/IT/000164,,2017,IT,International enterprise,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6734,MEWLIFE - MicroalgaE biomass from phototrophic-heterotrophic cultivation using olive oil Wastewaters,LIFE17 ENV/IT/000180,,2017,IT,International enterprise,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6735,I-SharE LIFE - Innovative sharing solutions for full electric travels in small and medium size urban areas,LIFE17 ENV/IT/000212,,2017,IT,Large enterprise,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6738,LIFE AGRISED - Use of dredged sediments for creating innovative growing media and technosols for plant nursery and soil rehabilitation,LIFE17 ENV/IT/000269,,2017,IT,Large enterprise,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6790,LIFE POREM - Poultry manure based bioactivator for better soil management through bioremediation,LIFE17 ENV/IT/000333,,2017,IT,SME Small and medium sized enterprise,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6737,LIFE SUBSED - Sustainable substrates for agriculture from dredged remediated marine sediments: from ports to pots,LIFE17 ENV/IT/000347,,2017,IT,Large enterprise,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6739,LIFE ZEOWINE - LIFE ZEOWINE: ZEOlite and WINEry waste as innovative product for wine production,LIFE17 ENV/IT/000427,,2017,IT,Research institution,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6742,NutriBiomass4LIFE - Nutrient recycling circular economy model for large cities – water treatment sludge and ashes to biomass to bio-energy,LIFE17 ENV/LT/000310,,2017,LT,SME Small and medium sized enterprise,Lithuania Lietuva,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6841,AlgaeService for LIFE - ALGAE – ECONOMY BASED ECOLOGICAL SERVICE OF AQUATIC ECOSYSTEMS,LIFE17 ENV/LT/000407,,2017,LT,Research institution,Lithuania Lietuva,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6741,LIFE-ALFIO - Alina Life Formulations in Open-Source Platform,LIFE17 ENV/LV/000318,,2017,LV,Large enterprise,Latvia Latvija,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6740,LIFE_PHIPP - Paper-hemp insulation pilot production,LIFE17 ENV/LV/000335,,2017,LV,Large enterprise,Latvia Latvija,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6743,"LIFE GRASS2GRIT - From grass to grit: an innovative, circular approach to safe and biodiverse roads",LIFE17 ENV/NL/000266,,2017,NL,Local authority,Nederland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6745,LIFE SouPLess - Sustainable riverine PLastic removal and management,LIFE17 ENV/NL/000339,,2017,NL,International enterprise,Nederland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6744,LIFE-NEWBIES - Nitrogen Extraction from Water By an Innovative Electrochemical System,LIFE17 ENV/NL/000408,,2017,NL,Research institution,Nederland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6746,LIFE GreenShoes4All - Footwear environmental footprint category rules implementation and innovative green shoes ecodesign and recycling,LIFE17 ENV/PT/000337,,2017,PT,Development agency,Portugal,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6768,LIWE LIFE - Lidköping Innovation Wastewater Eco-Hub,LIFE17 ENV/SE/000384,,2017,SE,Local authority,Sverige,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6749,LIFE CEPLAFIB - Implementation of a new Circular Economy through the valorisation of postconsumer PLAstic waste and reclaimed pulp FIBer,LIFE17 ENV/SI/000119,,2017,SI,NGO-Foundation,Slovenia Slovenija,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6748,LIFE - Water and Health - Improvement of health status of population of the Slovak Republic through drinking water re-carbonization,LIFE17 ENV/SK/000036,,2017,SK,University,Slovakia Slovensko,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6747,LIFE APEX - Systematic use of contaminant data from apex predators and their prey in chemicals management,LIFE17 ENV/SK/000355,,2017,SK,Research institution,Slovakia Slovensko,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6518,LIFE ESC360 - 360 volunteers for monitoring forest biodiversity in the Italian Natura 2000 Network,LIFE17 ESC/IT/000001,,2017,IT,National authority,Italia,,biodiversity / nature conservation / voluntary work /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6530,VISPO - Volunteering Initiative for a sustainable PO,LIFE17 ESC/IT/000002,,2017,IT,NGO-Foundation,Italia,,biodiversity / nature conservation / voluntary work /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6531,VOLUNTEER ESCAPES - Volunteer with European Solidarity Corps for Activities in Portugal with Ecological Sense,LIFE17 ESC/PT/000003,,2017,PT,NGO-Foundation,Portugal,,biodiversity / nature conservation / voluntary work /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6818,LIFE360 - LIFE360: A multi-stakeholder platform for inclusive and ambitious 2030 climate plans,LIFE17 GIC/AT/000039,,2017,AT,NGO-Foundation,Österreich,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6820,LIFE GrIn - Promoting urban integration of GReen INfrastructure to improve climate governance in cities,LIFE17 GIC/GR/000029,,2017,GR,National authority,Ellas,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6821,MILE21-LIFE - More Information Less Emissions - Empowering consumers for a greener 21st century,LIFE17 GIC/GR/000128,,2017,GR,University,Ellas,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6822,LIFE BEWARE - BEtter Water-management for Advancing Resilient-communities in Europe,LIFE17 GIC/IT/000091,,2017,IT,Local authority,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6842,LIFE SWEAP - Shipments of Waste Enforcement Actions Project,LIFE17 GIE/BE/000480,,2017,BE,Professional organisation,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6658,"LIFEforBgNATURA - NATURA 2000 IN BULGARIA – NEW HORIZONS 
National awareness raising campaign on NATURA 2000 using flagship species",LIFE17 GIE/BG/000371,,2017,BG,NGO-Foundation,Bulgaria Balgarija,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6659,LIFE BooGI-BOP - Boosting Urban Green Infrastructure through Biodiversity-Oriented Design of Business Premises,LIFE17 GIE/DE/000466,,2017,DE,NGO-Foundation,Deutschland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6660,LIFE Air & Agriculture - Reducing Ammonia and Methane Emissions from Agriculture to Improve Air Quality and Climate Protection,LIFE17 GIE/DE/000610,,2017,DE,NGO-Foundation,Deutschland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6839,LIFE INVASAQUA - Aquatic Invasive Alien Species of Freshwater and Estuarine Systems: Awareness and Prevention in the Iberian Peninsula,LIFE17 GIE/ES/000515,,2017,ES,University,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6666,Life+ Nature Guardians - Minimize the incidence of environmental crimes,LIFE17 GIE/ES/000630,,2017,ES,NGO-Foundation,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6661,Green & Safe LIFE-styles - Complex awareness raising and behaviour change program for the sustainable & safe use of chemicals in consumer products,LIFE17 GIE/HU/000622,,2017,HU,NGO-Foundation,Hungary Magyarország,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6791,LIFE CONCERT REACH - Concerting experimental data and in silico models for REACH,LIFE17 GIE/IT/000461,,2017,IT,Research institution,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6792,Soil4Life - Soil4Life,LIFE17 GIE/IT/000477,,2017,IT,NGO-Foundation,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6793,GOProFOR LIFE - GOod PRactices implementation netwOrk for FORest biodiversity conservation,LIFE17 GIE/IT/000561,,2017,IT,Professional organisation,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6663,ANCHOR LIFE - Advanced Noise Control strategies in HarbOuR,LIFE17 GIE/IT/000562,,2017,IT,Research institution,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6664,"LIFE FOSTER - Training, education and communication to reduce food waste in the food service industry",LIFE17 GIE/IT/000579,,2017,IT,Training centre,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6662,LIFE TACKLE - Teaming-up for A Conscious Kick for the Legacy of Environment,LIFE17 GIE/IT/000611,,2017,IT,Research institution,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6665,LIFE Against Bird Crime - Delivering the EU Biodiversity Strategy: Awareness and Capacity Building against Bird Crime in Priority Flyway Countries,LIFE17 GIE/NL/000599,,2017,BE,NGO-Foundation,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6667,Biosecurity for LIFE - Biosecurity for LIFE: Safeguarding the UK's globally important seabird island SPAs from invasive alien species,LIFE17 GIE/UK/000572,,2017,UK,NGO-Foundation,United Kingdom,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6668,LIFE Green valleys - Green valleys: connecting habitats’ conservation with long term biomass management and multi-stakeholder approach,LIFE17 NAT/BE/000445,,2017,BE,NGO-Foundation,België - Belgique,,,"&quot;Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)&quot; / &quot;Lowland hay meadows (Alopecurus pratensis, Sanguisorba officinalis)&quot; / &quot;Molinia meadows on calcareous, peaty or clayey-silt-laden soils (Molinion caeruleae)&quot; / &quot;Species-rich Nardus grasslands, on silicious substrates in mountain areas (and submountain areas in Continental Europe)&quot; / Alkaline fens / Atlantic acidophilous beech forests with Ilex and sometimes also Taxus in the shrublayer (Quercion robori-petraeae or Ilici-Fagenion) / Hard oligo-mesotrophic waters with benthic vegetation of Chara spp. / Hydrophilous tall herb fringe communities of plains and of the montane to alpine levels / Petrifying springs with tufa formation (Cratoneurion) / Sub-Atlantic and medio-European oak or oak-hornbeam forests of the Carpinion betuli /",Ciconia nigra / Circus aeruginosus / Gallinago gallinago / Grus grus / Vertigo angustior / Vertigo moulinsiana /
index.cfm?fuseaction=search.dspPage&n_proj_id=6794,the Lagoon of LIFE - Maintain the Man-Lake Symbiosis for the Benefit of Species and Habitats of EU conservation concern,LIFE17 NAT/BG/000558,,2017,BG,NGO-Foundation,Bulgaria Balgarija,,,Coastal lagoons /,Botaurus stellaris /
index.cfm?fuseaction=search.dspPage&n_proj_id=6669,LIFE UNDER ONE ROOF - Bats and men - sharing LIFE under one roof,LIFE17 NAT/BG/000602,,2017,BG,SME Small and medium sized enterprise,Bulgaria Balgarija,,,Non applicable (i.e.species project) /,Barbastella barbastellus / Miniopterus schreibersii / Myotis bechsteinii / Myotis blythii / Myotis capaccinii / Myotis myotis / Rhinolophus blasii / Rhinolophus mehelyi /
index.cfm?fuseaction=search.dspPage&n_proj_id=6795,LIFE for MIRES - TRANS-BOUNDARY RESTORATION OF MIRES FOR BIODIVERSITY AND LANDSCAPE HYDROLOGY IN SUMAVA AND BAVARIAN FOREST,LIFE17 NAT/CZ/000452,,2017,CZ,Park-Reserve authority,Czech Cesko,,,Acidophilous Picea forests of the montane to alpine levels (Vaccinio-Piceetea) / Active raised bogs / Bog woodland / Degraded raised bogs still capable of natural regeneration / Transition mires and quaking bogs /,Tetrao tetrix /
index.cfm?fuseaction=search.dspPage&n_proj_id=6670,LIFE Osmoderma  2017 - Osmoderma eremita species conservation in SCI Poodří,LIFE17 NAT/CZ/000463,,2017,CZ,NGO-Foundation,Czech Cesko,,,Non applicable (i.e.species project) /,Osmoderma eremita /
index.cfm?fuseaction=search.dspPage&n_proj_id=6675,LIFE Wetland Emmerich - Wetland restoration in the Rhine floodplain Emmericher Ward,LIFE17 NAT/DE/000458,,2017,DE,NGO-Foundation,Deutschland,,,Hydrophilous tall herb fringe communities of plains and of the montane to alpine levels / Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation / Rivers with muddy banks with Chenopodion rubri p.p. and Bidention p.p. vegetation / Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites) /,Acrocephalus scirpaceus / Anas clypeata / Anas querquedula / Anthus pratensis / Crex crex / Luscinia svecica / Numenius arquata / Rhodeus amarus / Tringa totanus / Triturus cristatus / Vanellus vanellus /
index.cfm?fuseaction=search.dspPage&n_proj_id=6676,"Reeds for LIFE - Promotion and recovery of reeds in the Natura 2000 area DE-4104-302 „NSG Bienener Altrhein, Millinger und Hurler Meer“",LIFE17 NAT/DE/000460,,2017,DE,NGO-Foundation,Deutschland,,,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation / Rivers with muddy banks with Chenopodion rubri p.p. and Bidention p.p. vegetation /,Acrocephalus scirpaceus / Anas clypeata / Anas crecca / Anas querquedula / Aythya ferina / Botaurus stellaris / Chlidonias niger / Circus aeruginosus / Gallinago gallinago / Ixobrychus minutus / Luscinia svecica / Porzana porzana / Rallus aquaticus / Rhodeus amarus /
