id,postcode,latitude,longitude
265,BS25,51.32039,-2.82522
266,BS26,51.27971,-2.85461
267,BS27,51.27131,-2.76987
268,BS28,51.22515,-2.81349
269,BS29,51.33081,-2.87709
270,BS3,51.43776,-2.60144
271,BS30,51.44465,-2.47201
272,BS31,51.40770,-2.49176
273,BS32,51.54228,-2.55955
274,BS34,51.52338,-2.56364
275,BS35,51.59629,-2.54866
276,BS36,51.52553,-2.48582
277,BS37,51.53928,-2.41675
278,BS39,51.32749,-2.53109
279,BS4,51.43437,-2.56111
280,BS40,51.34644,-2.69071
281,BS41,51.42221,-2.65158
282,BS48,51.42523,-2.74800
283,BS49,51.37980,-2.81767
284,BS5,51.46140,-2.54992
285,BS6,51.47015,-2.59898
286,BS7,51.48643,-2.58047
287,BS8,51.45745,-2.62041
288,BS9,51.48710,-2.62513
289,BS99,51.45769,-2.57291
290,BT1,54.59941,-5.92838
291,BT10,54.55983,-5.98338
292,BT11,54.57556,-5.99730
293,BT12,54.59223,-5.95557
294,BT13,54.60563,-5.95842
295,BT14,54.62082,-5.96144
296,BT15,54.62362,-5.93071
297,BT16,54.59100,-5.79746
298,BT17,54.55423,-6.01688
299,BT18,54.64154,-5.82079
300,BT19,54.65170,-5.66663
301,BT2,54.59309,-5.92932
302,BT20,54.65808,-5.66410
303,BT21,54.63826,-5.54448
304,BT22,54.50320,-5.51886
305,BT23,54.56301,-5.71437
306,BT24,54.41683,-5.87232
307,BT25,54.39545,-6.11078
308,BT26,54.45201,-6.06088
309,BT27,54.51004,-6.02027
310,BT28,54.52305,-6.08804
311,BT29,54.62018,-6.19390
312,BT3,54.61999,-5.90401
313,BT30,54.33396,-5.70444
314,BT31,54.27783,-5.96992
315,BT32,54.33502,-6.24483
316,BT33,54.22095,-5.89385
317,BT34,54.15466,-6.18034
318,BT35,54.16501,-6.44355
319,BT36,54.67682,-5.95448
320,BT37,54.67658,-5.90634
321,BT38,54.72950,-5.79799
322,BT39,54.74491,-6.01710
323,BT4,54.60230,-5.86668
324,BT40,54.84659,-5.82146
325,BT41,54.73301,-6.25997
326,BT42,54.85458,-6.28215
327,BT43,54.89024,-6.26565
328,BT44,54.97416,-6.28394
329,BT45,54.76045,-6.63935
330,BT46,54.86568,-6.66393
331,BT47,54.97386,-7.21151
332,BT48,55.00933,-7.32731
333,BT49,55.04774,-6.95153
334,BT5,54.58870,-5.87004
335,BT51,55.05761,-6.68000
336,BT52,55.13423,-6.65285
337,BT53,55.08519,-6.47305
338,BT54,55.19997,-6.25787
339,BT55,55.17971,-6.71005
340,BT56,55.19824,-6.64932
341,BT57,55.20140,-6.51755
342,BT6,54.57974,-5.89706
343,BT60,54.29219,-6.64951
344,BT61,54.36790,-6.62264
345,BT62,54.41256,-6.46416
346,BT63,54.40362,-6.38916
347,BT64,54.44938,-6.39252
348,BT65,54.44496,-6.36581
349,BT66,54.45514,-6.33292
350,BT67,54.48713,-6.26832
351,BT68,54.36626,-6.84743
352,BT69,54.42425,-6.94843
353,BT7,54.58158,-5.92356
354,BT70,54.51495,-6.88672
355,BT71,54.51322,-6.70402
356,BT74,54.34320,-7.66425
357,BT75,54.37531,-7.31559
358,BT76,54.41941,-7.19167
359,BT77,54.42711,-7.11701
360,BT78,54.57165,-7.37371
361,BT79,54.62422,-7.20073
362,BT8,54.53994,-5.90409
363,BT80,54.64464,-6.74869
364,BT81,54.69395,-7.61369
365,BT82,54.82576,-7.42777
366,BT9,54.57176,-5.94894
367,BT92,54.22294,-7.46184
368,BT93,54.46510,-7.82640
369,BT94,54.37595,-7.54078
370,CA1,54.88535,-2.91046
371,CA10,54.61104,-2.65966
372,CA11,54.66422,-2.78611
373,CA12,54.60214,-3.13326
374,CA13,54.65997,-3.36589
375,CA14,54.63454,-3.53704
376,CA15,54.71165,-3.48096
377,CA16,54.57413,-2.48269
378,CA17,54.47841,-2.35037
379,CA18,54.35408,-3.38958
380,CA19,54.38651,-3.38297
381,CA2,54.88415,-2.94940
382,CA20,54.40987,-3.46081
383,CA21,54.44516,-3.51451
384,CA22,54.48001,-3.53123
385,CA23,54.51465,-3.49236
386,CA24,54.51493,-3.54181
387,CA25,54.52243,-3.51737
388,CA26,54.54445,-3.48108
389,CA27,54.49091,-3.59186
390,CA28,54.54324,-3.57689
391,CA3,54.90760,-2.93904
392,CA4,54.84636,-2.83326
393,CA5,54.85485,-3.01570
394,CA6,54.99423,-2.89260
395,CA7,54.80696,-3.23702
396,CA8,54.93895,-2.68531
397,CA9,54.80176,-2.41850
398,CB1,52.17611,0.18955
399,CB10,52.02989,0.26551
400,CB11,51.99938,0.21443
401,CB2,52.16276,0.13333
402,CB21,52.13194,0.29553
403,CB22,52.12718,0.12898
404,CB23,52.21349,-0.02215
405,CB24,52.31538,0.02762
406,CB25,52.26083,0.23615
407,CB3,52.21324,0.02448
408,CB4,52.24312,0.11521
409,CB5,52.23868,0.21021
410,CB6,52.40388,0.22434
411,CB7,52.36606,0.32087
412,CB8,52.23083,0.42659
413,CB9,52.08212,0.44187
414,CF10,51.47387,-3.17648
415,CF11,51.47281,-3.19229
416,CF14,51.51947,-3.20216
417,CF15,51.53401,-3.27319
418,CF23,51.51550,-3.15016
419,CF24,51.48479,-3.16379
420,CF3,51.51947,-3.11134
421,CF31,51.50876,-3.57514
422,CF32,51.55992,-3.58268
423,CF33,51.52424,-3.69101
424,CF34,51.61024,-3.65087
425,CF35,51.52211,-3.51793
426,CF36,51.48456,-3.69818
427,CF37,51.60260,-3.33288
428,CF38,51.56034,-3.33164
429,CF39,51.60153,-3.42382
430,CF40,51.62009,-3.45041
431,CF41,51.64758,-3.48164
432,CF42,51.66685,-3.52132
433,CF43,51.65788,-3.44872
434,CF44,51.71802,-3.45788
435,CF45,51.66882,-3.36085
436,CF46,51.66501,-3.30000
437,CF47,51.75139,-3.37492
438,CF48,51.74067,-3.36880
439,CF5,51.48219,-3.24150
440,CF61,51.40748,-3.47962
441,CF62,51.40412,-3.30841
442,CF63,51.41190,-3.25542
443,CF64,51.43328,-3.18838
444,CF71,51.46176,-3.45402
445,CF72,51.52989,-3.39852
446,CF81,51.69980,-3.24311
447,CF82,51.65132,-3.23600
448,CF83,51.58587,-3.21690
449,CH1,53.20173,-2.90732
450,CH2,53.21640,-2.86869
451,CH3,53.16640,-2.82130
452,CH4,53.16823,-2.93803
453,CH41,53.39402,-3.03022
454,CH42,53.37433,-3.02073
455,CH43,53.38299,-3.05853
456,CH44,53.41554,-3.03676
457,CH45,53.42801,-3.05061
458,CH46,53.40319,-3.11018
459,CH47,53.39634,-3.16866
460,CH48,53.37116,-3.16947
461,CH49,53.38079,-3.10208
462,CH5,53.20424,-3.04064
463,CH6,53.25003,-3.14518
464,CH60,53.32602,-3.09466
465,CH61,53.34754,-3.10122
466,CH62,53.33421,-2.98072
467,CH63,53.34474,-3.01101
468,CH64,53.28779,-3.04717
469,CH65,53.27729,-2.90142
470,CH66,53.27704,-2.93442
471,CH7,53.16924,-3.13256
472,CH8,53.28144,-3.24053
473,CM0,51.66221,0.83719
474,CM1,51.74454,0.45694
475,CM11,51.62335,0.44605
476,CM12,51.62757,0.41593
477,CM13,51.61564,0.33872
478,CM14,51.61835,0.29263
479,CM15,51.64328,0.30545
480,CM16,51.69981,0.12161
481,CM17,51.77043,0.14522
482,CM18,51.75584,0.10685
483,CM19,51.76000,0.07515
484,CM2,51.72141,0.48754
485,CM20,51.77476,0.10483
486,CM21,51.81177,0.14718
487,CM22,51.86164,0.22218
488,CM23,51.87178,0.16021
489,CM24,51.89880,0.20657
490,CM3,51.71932,0.58445
491,CM4,51.67392,0.39235
492,CM5,51.72083,0.24857
493,CM6,51.87680,0.36678
494,CM7,51.89752,0.53797
495,CM77,51.86224,0.52554
496,CM8,51.80536,0.63870
497,CM9,51.74097,0.70159
498,CO1,51.88891,0.90960
499,CO10,52.05706,0.72355
500,CO11,51.94126,1.07890
501,CO12,51.93115,1.25427
502,CO13,51.83802,1.23884
503,CO14,51.84979,1.26873
504,CO15,51.79620,1.15605
505,CO16,51.82039,1.12580
506,CO2,51.86947,0.89527
507,CO3,51.88466,0.86281
508,CO4,51.90654,0.92383
509,CO5,51.81459,0.82209
510,CO6,51.92419,0.78968
511,CO7,51.88380,1.00520
512,CO8,51.97328,0.76797
513,CO9,51.96878,0.61043
514,CR0,51.37223,-0.07463
515,CR2,51.34983,-0.07988
516,CR3,51.28687,-0.07964
517,CR4,51.40415,-0.15813
518,CR5,51.31211,-0.13886
519,CR6,51.30799,-0.05149
520,CR7,51.39517,-0.10242
521,CR8,51.33594,-0.11061
522,CR9,51.37223,-0.07463
523,CT1,51.27719,1.08733
524,CT10,51.36208,1.43073
525,CT11,51.33557,1.41438
526,CT12,51.34216,1.37322
527,CT13,51.26692,1.33042
528,CT14,51.21582,1.38689
529,CT15,51.17109,1.28343
530,CT16,51.13996,1.30267
531,CT17,51.12845,1.29613
532,CT18,51.11447,1.15078
533,CT19,51.08785,1.17040
534,CT2,51.29261,1.08262
535,CT20,51.07899,1.16551
536,CT21,51.07233,1.07795
537,CT3,51.27743,1.21213
538,CT4,51.22462,1.06805
539,CT5,51.35318,1.03641
540,CT6,51.36420,1.13054
541,CT7,51.37122,1.30062
542,CT8,51.37996,1.34150
543,CT9,51.38304,1.39060
544,CV1,52.40939,-1.50600
545,CV10,52.52535,-1.50028
546,CV11,52.51885,-1.45318
547,CV12,52.47399,-1.47288
548,CV13,52.61217,-1.41362
549,CV2,52.42270,-1.46467
550,CV21,52.36774,-1.27438
551,CV22,52.35522,-1.28633
552,CV23,52.36165,-1.30826
553,CV3,52.39310,-1.48119
554,CV31,52.27819,-1.52358
555,CV32,52.29620,-1.53072
556,CV33,52.25735,-1.48424
557,CV34,52.28290,-1.57924
558,CV35,52.22900,-1.59440
559,CV36,52.06726,-1.62504
560,CV37,52.18530,-1.71328
561,CV4,52.39794,-1.56492
562,CV47,52.23349,-1.38494
563,CV5,52.41227,-1.55008
564,CV6,52.43188,-1.50722
565,CV7,52.44378,-1.56300
566,CV8,52.35110,-1.54336
567,CV9,52.58493,-1.55864
568,CW1,53.10281,-2.43469
569,CW10,53.18907,-2.44604
570,CW11,53.14260,-2.36482
571,CW12,53.16455,-2.21093
572,CW2,53.08119,-2.44642
573,CW3,52.99952,-2.40534
574,CW4,53.20648,-2.34739
575,CW5,53.06200,-2.52084
576,CW6,53.16197,-2.66565
577,CW7,53.19054,-2.52688
578,CW8,53.25330,-2.56363
579,CW9,53.25897,-2.50074
580,DA1,51.44637,0.20915
581,DA10,51.44445,0.30837
582,DA11,51.43455,0.35392
583,DA12,51.42757,0.38809
584,DA13,51.38235,0.35555
585,DA14,51.42475,0.11316
586,DA15,51.44029,0.09948
587,DA16,51.46440,0.10923
588,DA17,51.48706,0.14917
589,DA18,51.49165,0.14363
590,DA2,51.43150,0.23433
591,DA3,51.38417,0.30965
592,DA4,51.39106,0.23236
593,DA5,51.44033,0.14698
594,DA6,51.45484,0.14046
595,DA7,51.46552,0.14672
596,DA8,51.47574,0.17745
597,DA9,51.44771,0.27975
598,DD1,56.46110,-2.97702
599,DD10,56.74724,-2.42680
600,DD11,56.57312,-2.59738
601,DD2,56.46968,-3.02756
602,DD3,56.48257,-2.98894
603,DD4,56.48209,-2.93534
604,DD5,56.47812,-2.86217
605,DD6,56.43723,-2.92612
606,DD7,56.50330,-2.71814
607,DD8,56.65650,-2.92171
608,DD9,56.74798,-2.66720
609,DE1,52.91994,-1.47492
610,DE11,52.77372,-1.55377
611,DE12,52.72516,-1.55279
612,DE13,52.80741,-1.68844
613,DE14,52.80457,-1.63950
614,DE15,52.79908,-1.60840
615,DE21,52.93322,-1.43161
616,DE22,52.93351,-1.49559
617,DE23,52.90114,-1.49448
618,DE24,52.89016,-1.45150
619,DE3,52.90852,-1.54049
620,DE4,53.12707,-1.56357
621,DE45,53.21464,-1.67650
622,DE5,53.04456,-1.40180
623,DE55,53.10104,-1.37114
624,DE56,53.02152,-1.47369
625,DE6,52.99358,-1.71690
626,DE65,52.86651,-1.60927
627,DE7,52.97220,-1.32089
628,DE72,52.89330,-1.35929
629,DE73,52.84694,-1.43571
630,DE74,52.84368,-1.32884
631,DE75,53.01284,-1.35305
632,DG1,55.07353,-3.58045
633,DG10,55.31977,-3.43735
634,DG11,55.11331,-3.33584
635,DG12,54.98928,-3.25044
636,DG13,55.17291,-3.02849
637,DG14,55.08069,-2.98539
638,DG16,54.99731,-3.06777
639,DG2,55.06442,-3.65683
640,DG3,55.23678,-3.79927
641,DG4,55.37555,-3.95236
642,DG5,54.92201,-3.81016
643,DG6,54.83721,-4.05555
644,DG7,54.96738,-4.01219
645,DG8,54.87259,-4.51567
646,DG9,54.87815,-5.02123
647,DH1,54.78103,-1.56616
648,DH2,54.85933,-1.59648
649,DH3,54.87181,-1.56675
650,DH4,54.85444,-1.49060
651,DH5,54.82372,-1.45363
652,DH6,54.75276,-1.46391
653,DH7,54.78943,-1.66406
654,DH8,54.85541,-1.84422
655,DH9,54.86773,-1.70704
656,DL1,54.53016,-1.53637
657,DL10,54.41381,-1.69025
658,DL11,54.43841,-1.87510
659,DL12,54.57239,-1.98453
660,DL13,54.71619,-1.95343
661,DL14,54.65199,-1.68999
662,DL15,54.70960,-1.72836
663,DL16,54.69848,-1.60429
664,DL17,54.68118,-1.54086
665,DL2,54.52860,-1.60130
666,DL3,54.53209,-1.57035
667,DL4,54.63029,-1.64368
668,DL5,54.61749,-1.57565
669,DL6,54.37042,-1.38885
670,DL7,54.33761,-1.48471
671,DL8,54.29267,-1.78489
672,DL9,54.37521,-1.70902
673,DN1,53.52205,-1.12960
674,DN10,53.42705,-0.94339
675,DN11,53.45158,-1.08284
676,DN12,53.48313,-1.22082
677,DN14,53.70747,-0.93638
678,DN15,53.61469,-0.64994
679,DN16,53.56782,-0.63935
680,DN17,53.57210,-0.70114
681,DN18,53.68055,-0.44643
682,DN19,53.68387,-0.35847
683,DN2,53.53264,-1.10222
684,DN20,53.55723,-0.50531
685,DN21,53.41927,-0.70129
686,DN22,53.32352,-0.92643
687,DN3,53.54578,-1.05817
688,DN31,53.57014,-0.08648
689,DN32,53.56266,-0.06869
690,DN33,53.53974,-0.09691
691,DN34,53.55705,-0.11123
692,DN35,53.55494,-0.03583
693,DN36,53.51089,-0.03636
694,DN37,53.54033,-0.13461
695,DN38,53.56115,-0.39192
696,DN39,53.61700,-0.33385
697,DN4,53.50581,-1.12088
698,DN40,53.62080,-0.22331
699,DN41,53.58351,-0.19466
700,DN5,53.53763,-1.17153
701,DN6,53.59610,-1.17643
702,DN7,53.58139,-1.01508
703,DN8,53.61415,-0.95535
704,DN9,53.50661,-0.89316
705,DT1,50.71093,-2.44052
706,DT10,50.93702,-2.33306
707,DT11,50.86091,-2.18047
708,DT2,50.74955,-2.45365
709,DT3,50.64067,-2.46674
710,DT4,50.60921,-2.46360
711,DT5,50.54724,-2.44041
712,DT6,50.73886,-2.77528
713,DT7,50.72860,-2.94657
714,DT8,50.81632,-2.75810
715,DT9,50.94086,-2.51529
716,DY1,52.51648,-2.09580
717,DY10,52.38594,-2.22483
718,DY11,52.38496,-2.26009
719,DY12,52.38569,-2.32916
720,DY13,52.33637,-2.28035
721,DY14,52.37985,-2.46282
722,DY2,52.49671,-2.08102
723,DY3,52.52994,-2.12826
724,DY4,52.53269,-2.05308
725,DY5,52.48049,-2.12223
726,DY6,52.49842,-2.16353
727,DY7,52.46596,-2.22376
728,DY8,52.45978,-2.15455
729,DY9,52.43554,-2.12210
730,E1,51.51766,-0.05841
731,E10,51.56814,-0.01153
732,E11,51.56769,0.01443
733,E12,51.54992,0.05404
734,E13,51.52700,0.02705
735,E14,51.50620,-0.01855
736,E15,51.53911,0.00307
737,E16,51.51083,0.02633
738,E17,51.58623,-0.01796
739,E18,51.59176,0.02705
740,E1W,51.50775,-0.05739
741,E2,51.52939,-0.06080
742,E3,51.52789,-0.02482
743,E4,51.62196,-0.00339
744,E5,51.55893,-0.05233
745,E6,51.52560,0.05583
746,E7,51.54678,0.02793
747,E8,51.54202,-0.06315
748,E9,51.54258,-0.04293
749,EC1,51.52286,-0.10144
750,EC1A,51.52019,-0.10300
751,EC1M,51.52106,-0.10152
752,EC1N,51.52026,-0.10732
753,EC1R,51.52475,-0.10713
754,EC1V,51.52549,-0.09701
755,EC1Y,51.52272,-0.09280
756,EC2,51.51995,-0.08859
757,EC2A,51.52260,-0.08560
758,EC2M,51.51811,-0.08578
759,EC2N,51.51631,-0.08586
760,EC2P,51.51670,-0.09356
761,EC2R,51.51640,-0.09162
762,EC2V,51.51553,-0.09310
763,EC2Y,51.52007,-0.09579
764,EC3,51.51357,-0.08309
765,EC3A,51.51534,-0.08158
766,EC3M,51.51267,-0.08313
767,EC3N,51.51260,-0.07881
768,EC3P,51.52016,-0.10156
769,EC3R,51.51179,-0.08461
770,EC3V,51.51361,-0.08597
771,EC4,51.51475,-0.10034
772,EC4A,51.51576,-0.10751
773,EC4M,51.51475,-0.10034
774,EC4N,51.51463,-0.09314
775,EC4R,51.51191,-0.09181
776,EC4V,51.51293,-0.09897
777,EC4Y,51.51397,-0.10758
778,EH1,55.95243,-3.18840
779,EH10,55.92077,-3.20984
780,EH11,55.93387,-3.24867
781,EH12,55.94262,-3.27137
782,EH13,55.90788,-3.24144
783,EH14,55.90925,-3.28308
784,EH15,55.94686,-3.11136
785,EH16,55.92221,-3.15387
786,EH17,55.90704,-3.14222
787,EH18,55.87667,-3.12215
788,EH19,55.87324,-3.10446
789,EH2,55.95417,-3.19486
790,EH20,55.87905,-3.15579
791,EH21,55.93845,-3.04548
792,EH22,55.88441,-3.06001
793,EH23,55.83956,-3.05081
794,EH24,55.85051,-3.13257
795,EH25,55.85821,-3.17434
796,EH26,55.83257,-3.22307
797,EH27,55.89063,-3.42319
798,EH28,55.93060,-3.38624
799,EH29,55.95652,-3.39838
800,EH3,55.95412,-3.19967
801,EH30,55.98455,-3.38336
802,EH31,56.03627,-2.82661
803,EH32,55.96799,-2.94853
804,EH33,55.94196,-2.94469
805,EH34,55.90919,-2.87990
806,EH35,55.91053,-2.94233
807,EH36,55.85637,-2.85155
808,EH37,55.86188,-2.95873
809,EH38,55.78638,-2.96006
810,EH39,56.04766,-2.73052
811,EH4,55.96253,-3.25761
812,EH40,55.99057,-2.65570
813,EH41,55.94854,-2.77510
814,EH42,55.99389,-2.52428
815,EH43,55.62422,-3.01010
816,EH44,55.62015,-3.06558
817,EH45,55.65494,-3.19209
818,EH46,55.73689,-3.34910
819,EH47,55.85976,-3.66336
820,EH48,55.90110,-3.66353
821,EH49,55.97656,-3.59785
822,EH5,55.97463,-3.21633
823,EH51,56.01153,-3.60410
824,EH52,55.93756,-3.48256
825,EH53,55.89360,-3.47608
826,EH54,55.89212,-3.52400
827,EH55,55.84748,-3.57178
828,EH6,55.97144,-3.17456
829,EH7,55.96075,-3.16463
830,EH8,55.94909,-3.16268
831,EH9,55.93360,-3.18463
832,EN1,51.65360,-0.06707
833,EN10,51.74005,-0.01992
