"NHS Hospital and Community Health Services (HCHS): HCHS Doctors by ethnicity, in NHS Trusts excluding ambulance trusts, as at 31 December 2009 to 31 December 2014, and 31 December 2016, headcount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,As at 31 December 2016,,,,,,,,,,,As at 31 December 2014,,,,,,,,,,,As at 31 December 2013,,,,,,,,,,,As at 31 December 2012,,,,,,,,,,,As at 31 December 2011,,,,,,,,,,,As at 31 December 2010,,,,,,,,,,,As at 31 December 2009,,,,,,,,,
,Northampton General Hospital NHS Trust,RNS,520,23,175,22,15,15,193,-,74,3,,507,16,171,22,9,13,243,-,26,7,,497,21,182,19,7,10,252,-,6,-,,480,19,174,23,7,7,231,-,12,7,,469,23,155,33,13,7,224,-,6,8,,452,23,151,21,12,8,226,-,10,1,,431,28,140,15,7,5,215,-,20,1
,Northamptonshire Healthcare NHS Foundation Trust,RP1,113,7,44,7,2,5,46,-,1,1,,114,10,48,4,1,3,46,-,1,1,,126,7,61,6,-,3,48,-,-,1,,130,9,63,6,-,1,49,-,2,-,,91,6,46,5,-,1,25,-,6,2,,92,5,35,4,2,1,32,-,13,-,,96,7,42,3,2,3,28,-,6,5
,Northamptonshire Teaching PCT,5PD,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,24,-,-,-,-,-,-,-,1,9,,41,-,-,-,-,-,-,-,6,1,,48,-,-,-,-,-,-,-,3,-,,50,-,-,-,-,-,-,-,3,-
,Nottingham City PCT,5EM,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,16,-,-,-,-,-,-,-,-,-,,19,-,-,-,-,-,-,-,-,-,,22,-,-,-,-,-,-,-,-,-,,26,-,-,-,-,-,-,-,-,-
,Nottingham University Hospitals NHS Trust,RX1,"1,668",54,425,49,56,41,811,-,145,87,,"1,555",44,356,32,54,35,862,-,142,30,,"1,512",32,344,26,50,39,834,-,150,37,,"1,483",42,316,35,39,26,794,-,189,42,,"1,423",35,267,30,31,27,714,-,303,16,,"1,417",32,264,24,28,22,675,-,26,346,,"1,376",23,167,17,22,30,606,-,21,490
,Nottinghamshire County Teaching PCT,5N8,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,18,-,-,-,-,-,-,-,1,-,,10,-,-,-,-,-,-,-,-,-,,46,-,-,-,-,-,-,-,1,-,,50,-,-,-,-,-,-,-,3,-
,Nottinghamshire Healthcare NHS Foundation Trust,RHA,252,7,65,15,2,4,141,-,17,1,,256,9,71,13,2,3,138,-,18,2,,273,9,82,11,2,3,144,-,22,-,,270,7,78,13,2,2,133,-,34,1,,263,6,73,6,3,2,122,-,46,5,,247,6,53,9,2,2,112,-,57,6,,256,6,59,9,2,3,122,-,55,-
,Sherwood Forest Hospitals NHS Foundation Trust,RK5,425,14,157,26,13,17,185,-,12,1,,435,17,147,30,9,12,209,-,9,2,,430,15,151,24,11,13,199,-,2,15,,410,15,148,26,13,6,195,-,1,6,,403,14,146,22,13,6,199,-,2,1,,393,14,148,24,11,8,186,-,-,2,,405,13,146,21,15,8,197,-,3,2
,United Lincolnshire Hospitals NHS Trust,RWD,836,90,320,68,34,19,284,-,20,1,,846,91,311,52,37,14,307,-,32,2,,842,73,318,49,29,16,332,-,25,-,,811,44,306,43,24,19,342,-,33,-,,811,50,288,41,21,18,348,-,43,2,,787,51,280,35,20,14,332,-,54,1,,768,37,264,40,10,19,355,-,43,-
,University Hospitals of Leicester NHS Trust,RWE,"1,762",37,699,79,58,50,761,-,75,3,,"1,639",34,603,59,35,39,719,-,148,2,,"1,592",42,538,59,37,43,688,-,185,-,,"1,546",48,573,65,52,46,728,-,34,-,,"1,484",36,560,68,41,37,712,-,28,2,,"1,469",43,531,67,47,34,701,-,41,5,,"1,496",44,528,58,42,39,723,-,57,5
YDF22,Health Education East of England,,"10,001",380,"3,136",436,260,308,"4,648",-,553,280,,"10,399",411,"3,315",452,254,278,"4,942",-,567,180,,"9,979",393,"3,107",434,230,293,"4,714",1,543,264,,"9,734",394,"3,029",441,247,252,"4,586",1,619,165,,"9,634",421,"2,925",413,257,239,"4,589",1,573,216,,"9,503",441,"2,927",405,242,237,"4,495",2,556,198,,"9,308",420,"2,859",403,216,232,"4,363",2,578,235
,Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,535,26,255,44,7,14,157,-,32,-,,496,32,198,38,5,5,153,-,32,33,,508,19,166,31,8,13,121,-,25,125,,472,24,171,33,6,4,138,-,33,63,,465,25,140,30,6,6,112,-,50,96,,470,39,157,35,7,7,123,-,26,76,,455,36,150,41,10,7,128,-,42,41
,Bedford Hospital NHS Trust,RC1,313,15,133,18,12,9,109,-,16,1,,300,18,129,12,12,10,108,-,9,2,,294,18,137,15,4,11,94,-,15,-,,290,14,130,19,5,4,106,-,12,-,,289,13,109,6,7,5,127,-,21,1,,284,20,106,11,6,9,118,-,14,-,,274,14,100,10,6,9,115,-,20,-
,Bedfordshire and Luton Mental Health and Social Care Partnership NHS Trust,RV7,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,83,4,52,2,-,-,20,-,5,-
,Bedfordshire PCT,5P2,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,4,-,-,-,-,-,-,-,-,1,,37,-,-,-,-,-,-,-,1,1,,42,-,-,-,-,-,-,-,1,1,,47,-,-,-,-,-,-,-,-,1
,Cambridge University Hospitals NHS Foundation Trust,RGT,"1,257",32,265,27,48,36,819,-,11,19,,"1,178",29,245,22,43,26,780,-,25,8,,"1,154",32,257,26,43,31,734,1,25,5,,"1,108",32,263,19,38,26,707,1,20,2,,"1,048",29,245,24,47,28,645,1,22,7,,"1,040",33,230,23,41,26,649,1,26,11,,989,30,243,21,32,26,604,1,31,1
,Cambridgeshire and Peterborough NHS Foundation Trust,RT1,157,3,34,3,1,6,92,-,12,6,,147,3,30,3,-,6,88,-,11,6,,153,4,34,4,-,6,89,-,9,7,,157,5,44,4,2,4,88,-,8,2,,156,4,50,4,1,2,87,-,6,2,,160,4,59,4,1,2,81,-,7,2,,155,4,51,4,-,5,76,-,13,2
,Cambridgeshire Community Services NHS Trust,RYV,110,3,15,4,2,-,65,-,21,-,,115,3,15,3,1,2,74,-,10,7,,106,2,20,5,1,2,63,-,8,5,,112,1,24,4,3,2,60,-,6,12,,94,1,16,2,2,1,56,-,4,12,,83,-,20,3,3,1,52,-,4,-,,-,-,-,-,-,-,-,-,-,-
,Cambridgeshire PCT,5PP,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,13,-,-,-,-,-,-,-,1,1,,14,-,-,-,-,-,-,-,1,-,,15,-,-,-,-,-,-,-,1,-,,93,1,19,2,3,1,60,-,7,-
,Colchester Hospital University NHS Foundation Trust,RDE,458,14,156,26,12,14,214,-,22,-,,455,17,155,24,14,10,213,-,10,12,,445,16,149,23,11,5,211,-,7,23,,434,16,149,22,10,7,200,-,9,21,,440,15,154,19,10,10,211,-,8,13,,429,10,163,22,11,7,206,-,10,-,,424,22,153,18,14,10,194,-,12,1
,East and North Hertfordshire NHS Trust,RWH,705,37,235,24,16,16,313,-,33,31,,693,34,228,25,28,15,319,-,42,2,,712,39,230,25,26,32,324,-,31,5,,726,35,222,38,30,23,336,-,38,4,,717,37,232,29,21,18,333,-,17,30,,715,40,229,33,25,18,296,-,30,44,,733,37,227,33,24,17,310,-,34,51
,East and North Hertfordshire PCT,5P3,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,53,-,-,-,-,-,-,-,5,-
,Great Yarmouth and Waveney PCT,5PR,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-,,7,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-
,Hertfordshire Community NHS Trust,RY4,41,-,-,-,-,-,-,-,2,-,,55,-,-,-,-,-,-,-,5,1,,47,-,-,-,-,-,-,-,5,1,,48,-,-,-,-,-,-,-,6,-,,41,-,-,-,-,-,-,-,6,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
,Hertfordshire Partnership University NHS Foundation Trust,RWR,172,8,62,12,1,4,66,-,9,10,,173,6,77,9,-,5,62,-,13,1,,177,6,80,9,2,3,66,-,10,1,,177,6,72,8,3,5,61,-,22,-,,199,9,77,9,3,4,72,-,25,-,,197,10,72,10,1,5,68,-,31,-,,190,10,62,10,1,4,69,-,34,-
,Hertfordshire PCT,5QV,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,14,-,-,-,-,-,-,-,-,-,,13,-,-,-,-,-,-,-,1,-,,50,-,-,-,-,-,-,-,5,-,,-,-,-,-,-,-,-,-,-,-
,Hinchingbrooke Health Care NHS Trust,RQQ,198,9,62,11,8,3,95,-,8,2,,192,14,58,10,4,3,94,-,7,2,,183,8,59,8,4,4,86,-,12,2,,193,10,60,15,7,6,83,-,9,3,,172,10,51,7,3,4,86,-,8,3,,182,9,61,10,2,5,88,-,6,1,,171,7,62,7,1,6,77,-,4,7
,Ipswich Hospital NHS Trust,RGQ,483,7,94,11,12,16,250,-,54,39,,453,15,81,13,9,20,249,-,55,11,,437,15,79,11,11,16,234,-,57,14,,418,9,69,9,11,12,244,-,62,2,,423,10,70,10,12,11,239,-,68,3,,404,12,96,16,11,14,217,-,35,3,,401,9,76,13,13,12,201,-,30,47
,James Paget University Hospitals NHS Foundation Trust,RGP,305,13,97,12,4,11,150,-,13,5,,291,10,101,13,1,12,140,-,12,2,,300,12,105,16,4,15,138,-,10,-,,312,6,104,15,3,10,154,-,18,2,,316,11,95,14,6,5,165,-,16,4,,315,12,102,15,4,6,161,1,13,1,,301,14,99,12,4,6,154,1,11,-
,Luton and Dunstable University Hospital NHS Foundation Trust,RC9,555,20,242,26,23,8,179,-,10,47,,507,25,221,20,10,12,193,-,11,15,,500,22,232,26,8,17,183,-,10,2,,476,31,203,34,12,6,177,-,13,-,,445,47,176,28,16,10,154,-,12,2,,431,43,162,24,10,6,168,-,16,2,,417,35,159,21,6,10,167,-,18,1
,Luton PCT,5GC,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,15,-,-,-,-,-,-,-,1,1,,18,-,-,-,-,-,-,-,1,-,,13,-,-,-,-,-,-,-,1,-
,Mid Essex Hospital Services NHS Trust,RQ8,553,16,158,26,11,15,206,-,118,3,,517,15,140,17,10,11,202,-,120,2,,510,11,121,19,10,10,203,-,134,2,,520,13,124,17,10,9,160,-,187,-,,494,15,126,20,16,11,166,-,139,1,,465,17,90,16,9,10,154,-,154,15,,457,18,113,18,8,12,159,-,122,7
,Mid Essex PCT,5PX,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-,,24,-,-,-,-,-,-,-,5,-,,24,-,-,-,-,-,-,-,5,-,,27,-,-,-,-,-,-,-,6,-
,Norfolk and Norwich University Hospitals NHS Foundation Trust,RM1,931,38,211,29,27,36,534,-,36,20,,890,36,196,28,27,26,531,-,42,4,,910,37,171,31,25,31,569,-,44,2,,895,40,193,26,18,31,541,-,43,3,,873,40,181,18,21,16,551,-,40,6,,857,39,186,15,22,24,529,-,40,2,,828,41,189,23,13,15,496,-,34,17
,Norfolk and Suffolk NHS Foundation Trust,RMY,174,5,49,13,2,4,90,-,10,1,,172,4,55,12,1,6,86,-,7,1,,190,4,56,17,1,6,96,-,9,1,,207,5,58,16,1,7,109,-,10,1,,137,4,32,12,1,9,68,-,10,1,,139,3,40,12,1,9,61,-,12,1,,142,3,38,11,1,9,66,-,14,-
,Norfolk Community Health and Care NHS Trust,RY3,33,-,-,-,-,-,-,-,6,-,,40,-,-,-,-,-,-,-,5,1,,41,-,-,-,-,-,-,-,4,1,,42,-,-,-,-,-,-,-,5,1,,44,-,-,-,-,-,-,-,3,1,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
,Norfolk PCT,5PQ,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,1,-,,5,-,-,-,-,-,-,-,-,-,,56,-,-,-,-,-,-,-,1,1,,54,-,-,-,-,-,-,-,2,1
,North East Essex PCT,5PW,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-,,14,-,-,-,-,-,-,-,-,-,,18,-,-,-,-,-,-,-,1,-,,30,-,-,-,-,-,-,-,2,-
,North Essex Partnership University NHS Foundation Trust,RRD,99,7,48,8,-,1,27,-,8,-,,115,8,63,7,-,1,31,-,5,-,,129,9,74,10,-,1,31,-,4,-,,130,8,71,13,-,2,30,-,5,1,,129,9,58,14,-,3,39,-,6,-,,130,9,63,9,-,2,40,-,6,1,,121,11,54,10,-,1,39,-,6,-
,Papworth Hospital NHS Foundation Trust,RGM,193,1,44,3,9,3,123,-,8,2,,190,1,44,1,3,6,123,-,9,3,,184,-,49,2,3,5,117,-,7,1,,167,3,40,1,6,5,105,-,7,-,,153,2,31,1,5,4,101,-,8,1,,148,-,32,3,6,4,96,-,7,-,,143,-,32,3,7,5,87,-,8,1
,Peterborough PCT,5PN,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,-,-,,13,-,-,-,-,-,-,-,1,2,,23,-,-,-,-,-,-,-,1,2,,26,-,-,-,-,-,-,-,1,2
,Princess Alexandra Hospital NHS Trust,RQW,429,34,149,28,6,22,149,-,34,7,,402,24,151,26,8,14,159,-,15,5,,400,29,147,24,8,18,146,-,22,6,,404,32,164,21,12,15,122,-,36,2,,395,27,154,22,6,14,130,-,22,20,,409,25,156,24,3,16,129,-,27,29,,385,24,139,27,4,12,131,-,40,8
,Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,RCX,319,7,106,17,6,13,166,-,4,-,,323,11,120,12,10,9,153,-,8,-,,333,8,119,9,6,9,175,-,7,-,,351,9,117,18,11,11,177,-,8,-,,357,7,125,20,6,12,183,-,4,-,,346,7,118,14,11,13,174,-,9,-,,326,8,122,12,7,7,162,-,7,1
,South East Essex PCT,5P1,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,4,-,-,-,-,-,-,-,-,-,,7,-,-,-,-,-,-,-,-,1,,6,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-
,South Essex Partnership University NHS Foundation Trust,RWN,125,5,60,4,-,7,36,-,-,13,,218,8,119,15,-,6,66,-,2,2,,240,10,130,19,-,3,76,-,-,2,,240,9,140,15,-,1,73,-,1,1,,191,13,107,11,-,3,52,-,4,1,,188,12,106,8,-,3,54,-,5,-,,113,8,51,5,-,4,38,-,-,7
,South West Essex PCT,5PY,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,-,-,,31,-,-,-,-,-,-,-,-,3,,38,-,-,-,-,-,-,-,-,5,,52,-,-,-,-,-,-,-,2,6
,Southend University Hospital NHS Foundation Trust,RAJ,507,22,192,28,17,11,174,-,62,1,,"1,181",45,432,83,27,30,466,-,92,6,,732,39,269,40,17,12,291,-,62,2,,500,25,202,26,19,12,180,-,36,-,,481,29,180,30,24,12,171,-,34,1,,459,28,164,26,22,8,183,-,28,-,,439,14,162,29,14,11,181,-,26,2
,Suffolk Mental Health Partnership NHS Trust,RT6,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,75,3,23,3,-,1,44,-,1,-,,80,2,20,3,-,1,47,-,5,2,,85,2,22,3,-,1,47,-,9,1
,Suffolk PCT,5PT,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,22,-,-,-,-,-,-,-,-,-,,76,1,13,3,3,3,53,-,-,-,,81,1,14,2,4,3,54,-,1,2,,74,1,11,1,4,1,49,-,4,3
,West Essex PCT,5PV,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,11,-,-,-,-,-,-,-,-,-,,23,-,-,-,-,-,-,-,2,-,,18,-,-,-,-,-,-,-,-,-,,18,-,-,-,-,-,-,-,-,-
,West Hertfordshire Hospitals NHS Trust,RWG,565,21,208,29,12,20,210,-,15,50,,561,16,195,28,17,13,249,-,12,31,,553,15,191,31,19,14,252,-,10,21,,558,21,197,22,18,22,252,-,12,14,,544,21,192,28,16,17,255,-,14,1,,534,25,197,32,15,11,242,-,12,-,,530,18,168,30,17,21,237,-,13,26
,West Hertfordshire PCT,5P4,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,-,1,-
,West Suffolk NHS Foundation Trust,RGR,354,14,101,6,11,13,198,-,3,8,,328,16,86,6,12,11,192,-,3,2,,335,14,85,7,8,6,209,-,6,-,,322,13,73,15,4,10,196,-,5,6,,322,16,80,10,8,10,193,-,5,-,,309,9,84,6,10,7,187,-,5,1,,303,9,87,6,9,7,184,-,1,-
,North West Anglia NHS Foundation Trust,RGN,454,21,146,25,12,22,205,-,6,17,,438,21,155,24,10,16,181,-,5,26,,438,23,132,25,10,20,178,-,10,40,,418,25,113,26,14,12,195,-,6,27,,403,18,142,25,13,14,174,-,8,9,,389,27,129,19,12,15,172,-,12,3,,396,35,135,21,11,8,164,-,13,9
YDF23,Health Education Yorkshire and the Humber,,"10,670",370,"2,824",396,233,267,"5,997",1,455,127,,"10,615",365,"2,891",369,213,272,"6,059",1,364,81,,"10,577",394,"2,926",366,192,264,"5,965",-,359,111,,"10,679",397,"2,964",334,193,252,"5,994",-,455,90,,"10,657",383,"2,982",334,180,247,"5,961",-,445,125,,"10,600",398,"3,024",357,169,231,"5,859",-,524,38,,"10,490",389,"2,879",329,156,219,"5,833",42,508,135
,Airedale NHS Foundation Trust,RCF,260,9,63,6,3,4,167,-,3,5,,252,7,52,10,3,2,158,-,6,14,,243,6,56,6,4,6,142,-,6,17,,244,4,64,7,4,9,134,-,3,19,,244,5,62,8,1,7,133,-,2,26,,242,6,68,8,7,4,146,-,3,-,,237,7,73,7,1,7,141,-,-,1
,Barnsley Hospital NHS Foundation Trust,RFF,332,17,90,15,5,10,187,-,4,4,,302,18,82,23,6,12,157,-,2,2,,305,16,88,15,5,14,161,-,6,-,,292,15,96,13,6,8,146,-,8,-,,281,13,86,14,6,7,149,-,6,-,,272,14,81,20,6,4,140,-,7,-,,222,18,60,12,4,5,120,-,2,1
,Barnsley PCT,5JE,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,6,-,-,-,-,-,-,-,-,-,,6,-,-,-,-,-,-,-,-,-,,47,-,-,-,-,-,-,-,-,-,,46,-,-,-,-,-,-,-,-,-
