,Bénéficiaire,Nom du projet,Fonds,Unnamed: 3,Résumé du projet,Date de commencement,Date de fin,Investissement FEDER/FSE £m,Coût total du projet £m,% du projet cofinancé par l’UE,Localisation (code postal),Zone de partenariat économique local,Pays,Type et axe du soutien (catégorie d’intervention),postcode,id,latitude,longitude
10,C2C LEP,Maximising the Benefit of ERDF in Coast to Capital,ERDF,9,Build strong pipeline of high quality projects.,2015-10-01,2018-12-31,196275,392551,0.5,RH12 2DN,Coast to Capital,England,123 Information and communication,RH122DN,474732,51.068227227232896,-0.322259753485742
11,Coast to Capital LEP,Maximising the benefit of ESF in Coast to Capital,ESF ,3 - Technical Assistance,"The five main activity areas of the project will comprise:
1. Promotion of ESF opportunities: awareness-raising.
This will include web-based and e mail communications, social media, fact-sheets, leaflets, newsletters and press releases as well as a programme of  road shows and events with appropriate support materials to take forward our communications strategy. It will ensure that the target audiences receive the right messages, tailored to their needs.Tier 1: our national strategic partners such as DWP, the SFA and Big Lottery with whom we need to communicate regularly on strategy development and implementation Tier 2: our local strategic partners and stakeholders, such as Local Area Partnerships, Upper Tier  Local Authorities, HE and FE  sector representatives, voluntary and community sector representatives, business organisations etc., who are engaged in strategy development and implementation, but who are not likely to bid for ESI Funds 
Tier 3: the wide range of potential delivery organisations, many of which are based in our area, but also those outside it who have knowledge and expertise to bring to ESF delivery in Coast to Capital.
2. Building a strong pipeline of high quality projects to meet the ESF-related aims of our ESIF strategyThis will include: one-to-one meetings; small focused workshops; one-to-one advice; answering telephone and e mail queries. We will also provide strategic-fit related advice to applicants at outline and full application stage as well as signposting to the MA and the relevant co-financing / Opt-in Organisation (OiO).
We will work closely with the MA to ensure that the referral process works smoothly.  Our support will not duplicate the MA’s and/or Opt-in Organisation’s support to applicants which will be aimed at ensuring technical compliance. Our support will focus on local skills, employment, social inclusion priorities and labour market intelligence as well as strategic fit. We will also provide information on putting good bids together, match funding and other subjects in addition to that which is available from the MA or OiO where there is clear evidence of local demand.
3. Delivery partner-broking and networking
We will use the ESIF pages on our website (which are already well used) in addition to social media, e.g. Linked-in groups, as well as “meet the partner” and other networking events for potential applicants. 
Once projects are underway, delivery partners will be supported to exchange good practice. We have already received requests for more networking opportunities and access to peer group support. 
4. Strategic Partner engagement 
We will continue to engage strategic partners through one-to-one and small scale meetings, encouraging their active participation in communication and through consultation (meetings, events, questionnaires etc.) to identify changes in local circumstances, successful projects and lessons learned. 
5. Monitoring of the TA project itself and continuous improvement 
We will monitor the TA project continuously and conduct an annual progress review to ensure it is meeting its objectives. Results will be used to drive continuous improvement of activities delivered through the TA project through identifying what has worked well, or not so well, and requires improvement. 

",2015-10-01,2019-03-31,182740.5,365481,0.5,RH12 2DN,Coast to Capital,England,123 Information and communication,RH122DN,474732,51.068227227232896,-0.322259753485742
12,West Sussex Sustainable Bus P'ships,Utilise Plus,ERDF,4,"Chamber of Commerce in partnership with Solent LEP and beyond the initial information, brokerage and diagnostic stage, provide support for 170 additional enterprises. Overall the project offers value for money.",2017-01-01,2019-12-31,500000,1000000,0.5,BN1 1ND,Coast to Capital,England,068 Energy efficiency and demonstration projects in SMEs ,BN11ND,1560583,50.8211,-0.141475568
13,University of Reading,"Thames Valley Science Park
Infrastructure",ERDF,1,"Strategic Fit and Value for Money requirements met. Deliver 1st phase of Science Park - laboratory and research facilities. Project's single and key output is P2 (Public or commercial buildings built/renovated. VFM demonstrated through the TVB LEP area target of 1440 sqm being exceeded by 74% by proposed provision of 2,500 sqm. The comparison of the rate/unit cost of the project against the OP's benchmark is considered to provide good VFM.",2015-12-01,2017-12-31,5000000,13379088,0.3737,RG6 6AH,Thames Valley and Berkshire,England,062 Technology transfer and university-enterprise cooperation ,RG66AH,483343,51.4576150252681,-0.945621626294447
14,University of Southampton,EM3 Innovation Support Programme,ERDF,1,Brokerage to enable innovative SMEs access to knowledge exchange. Overall the project offers value for money.,2018-01-01,2021-03-31,2700000,5661673,0.4769,SO17 1BJ,Enterprise M3,England,"067 SME business development, support to entrepreneurship",SO171BJ,316238,50.9341876000301,-1.39568476775548
15,Shepway District Council,Folkestone CLLD Programme: Folkestone Community Works,ERDF,8,Promote social and economic cohesion through interventions to help the most deprived communities. Achieved by helping residents access job and supporting local businesses. Total outputs proposed offer good VFM measured against average unit costs of the Operational Programme.,2016-10-26,2022-12-31,1515783,3031566,0.5,CT20 2QY,South East,England,097 Community led local development initiatives in urban and rural,CT202QY,1392977,51.0795310145963,1.1697527977000801
16,Shepway District Council,Folkestone CLLD Programme,ERDF,8,"To promote the economic and social cohesion of Folkestone through a set of interventions to help the most deprived communities. Achieved by helping residents access jobs, supporting local businesses and creation of job opportunities. The Outputs proposed offer good Value for Money measured against average unit costs of the Operational Programme",2016-03-01,2016-09-30,9347,18695,0.5,CT20 2QY,South East,England,097 Community led local development initiatives in urban and rural,CT202QY,1392977,51.0795310145963,1.1697527977000801
17,Shepway District Council,Folkestone CLLD – Developing the Stage 1 application,ESF,1- Inclusive Labour Markets,"Based on community-led consultation the aim of the programme is to promote the social and economic cohesion of Folkestone through interventions to help the most deprived communities. This will be achieved by helping residents to access jobs and by supporting local businesses to help them grow and provide new job opportunities.  
The programme has three objectives:  Objective 1 - Enhancing work-readiness and well-being; Objective 2 - Promoting local business and social enterprise; 
• Objective 3 - Setting up an integrated delivery mechanism for the strategy. 
Through discussion with local groups, providers, charities and potential participants a number of key actions have been agreed. These are all focused on either supporting those in the most deprived communities back to work or education or in the development of business opportunities and growth. They are supported by a new Folkestone Community Hub that will uniquely bring both the skills, social, wellbeing and business elements together
",2016-02-29,2016-12-31,10000,20000,0.5,CT20 2QY,South East,England,114 Community-led local development strategies,CT202QY,1392977,51.0795310145963,1.1697527977000801
18,Kent County Council,Foreign Inward Investment Kent,ERDF,3,"Led by Kent County Council and delivered in collaboration with a competitively procured contractor, this 36 month (May 2016 – April 2019) £3.489m project will attract and support high value, high technology, leading edge and high growth UK and foreign inwardly investing SMEs, creating 350 new high quality jobs, helping existing overseas investors to expand their operations and working with UK Trade and Investment (UKTI) as a partner both in the UK and through its global network. The project will operate in Kent and Medway.",2016-08-01,2019-10-31,1751891,3503782,0.5,ME141XX,South East,England,066 Advanced support services for SMEs and groups of SMEs,ME141XX,811280,51.2788009753329,0.5211763259119171
19,Kent County Council,LOCASE,ERDF,4,"LOCASE will provide a consistent, accessible business support programme across the SELEP area that helps businesses optimise the use of resources and adopt eco-innovative and low carbon solutions in ways that improve business performance in terms of resilience, profitability and competitiveness, at the same time contributing to the protection and preservation of the environment.
The project will provide business support to 1,050 SMEs, cut emissions by 6,510 TCO2, support 67 new businesses, introduce 80 new products, knowledge transfer with 33 businesses, create 270 new jobs in LCEGS sector, invest £18,761,888 in business, and raise awareness of LCEGS to 200,000+ people.",2016-02-29,2019-07-11,8858923,18525565,0.4782,ME14 1XX,South East,England,068 Energy efficiency and demonstration projects in SMEs ,ME141XX,811280,51.2788009753329,0.5211763259119171
20,Hertfordshire LEP,Hertfordshire Technical Assistance,ERDF,9,"This is a technical assistance project designed to support the delivery of the England National ERDF Operational Programme in the Hertfordshire LEP area.  
The primary purpose of the project is to raise awareness of ERDF funding opportunities within the LEP area and support the development of pipeline projects intended to meet the strategic objectives of Hertfordshire LEP as set out in the Hertfordshire ESIF Strategy and Strategic Economic Plan",2015-08-07,2018-09-06,212297,424594,0.5,SG13 8DE,Hertfordshire,England,123 Information and communication,SG138DE,374342,51.790945,-0.081493
21,New Anglia LEP,New Anglia Business Growth Programme,ERDF,3,"The Business Growth Programme will deliver proactive, targeted ‘wrap-around’ support to existing and start-up businesses which have the potential to grow exponentially. Activity will be delivered by an experienced Partnership and forms a cohesive suite of support comprising:

1. A Growth Hub, providing in-depth advice and guidance to businesses.
2. The provision of a Micro Grant scheme to enable business growth.
3. A Start-Up programme, supporting individuals during prestart stage and businesses during the first two years of operation.",2015-09-01,2018-12-31,6128213,12256426,0.5,NR4 7UG,New Anglia,England,"067 SME business development, support to entrepreneurship",NR47UG,1798810,52.622777284799994,1.2197860301
22,Exemplas,Get Exporting 2,ERDF,3,The overarching aim of the project is to increase the number of SMEs trading successfully in new markets.,2016-07-01,2019-06-30,3925000,8013389,0.4898,AL7 3AX,South East,England,"067 SME business development, support to entrepreneurship",AL73AX,1570850,51.797547,-0.203977
23,Exemplas,Get Growing,ERDF,3,"The project will provide comprehensive support to mid sized SMEs with the latent potential to grow. The programme will consist of business advice, delivered by a team of specialist advisers, and integrated with a series of business workshops. Specialisms covered will include Sales & Marketing, Inward Investment, Finance, Productivity and Business Planning, with advisers working as a team to implement SME Growth Plans. The project will target SMEs who form part of the “missing middle”, those which were ineligible to access national business support and which can be the “gazelles” of future growth.",2016-01-01,2018-06-30,681745,1363496,0.5,AL7 3AX,Hertfordshire,England,"067 SME business development, support to entrepreneurship",AL73AX,1570850,51.797547,-0.203977
24,Exemplas,Innovate to Succeed,ERDF,1,"Innovate2Succeed (I2S) will provide tailored support to SMEs to help them enhance their innovation management capability, resulting in increased effectiveness in generating and commercially exploiting their ideas. Beneficiaries will undergo an in-depth diagnostic assessment of their business and a bespoke package of support will then be designed and delivered to embed innovation management capability within the company. This improved capability will provide long-term benefit to the SME and the economy. This activity forms part of a programme being delivered across 13 pilot LEPs as part of InnovateUK’s agenda to increase innovation management capacity in UK’s small businesses.",2016-04-01,2019-06-30,971291,1942584,0.5,AL7 3AX,Hertfordshire,England,"067 SME business development, support to entrepreneurship",AL73AX,1570850,51.797547,-0.203977
25,Enterprise Growth Solutions Limited,Exporting for Growth,ERDF,3,"The project will increase the support offered to SMEs, both first time exporters and those already exporting across Leeds & Sheffield City Regions to grow their success within international markets.

SMEs will benefit from a programme of direct engagement",2016-07-01,2019-06-30,6770000,12995586,0.5209,AL7 3AX,Leeds City Region,England,066 Advanced support services for SMEs and groups of SMEs,AL73AX,1570850,51.797547,-0.203977
26,Hethel Ltd,Innovation New Anglia,ERDF,1,Innovation New Anglia (INA) is an innovation-led business support program operating in Norfolk/Suffolk,2015-10-01,2018-12-31,538252,1114397,0.483,NR14 8FB,New Anglia,England,"064 – Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)",NR148FB,662224,52.5548806516617,1.1794261964738602
27,Newable Limited,(UKTI) South East International Business Growth,ERDF,3,"Programme of direct engagement, workshops, overseas events and missions",2016-12-01,2019-11-30,1900000,3800000,0.5,SE1 2JN,Coast to Capital,England,066 Advanced support services for SMEs and groups of SMEs,SE12JN,397420,51.501652955430295,-0.074014591874942
28,Newable Limited,Export Asean,ERDF,3,Increase activity and add value to the support offer for SME exporters.,2016-12-01,2019-11-30,1075601,2151202,0.5,SE1 2JN,Coast to Capital,England,066 Advanced support services for SMEs and groups of SMEs,SE12JN,397420,51.501652955430295,-0.074014591874942
29,Newable Ltd,Global Growth,ERDF,3,"The project aims to increase the uptake of international business support among London SMEs, helping them to mitigate costs and risks in unfamiliar cultural and regulatory environments.  It will create new jobs and encourage business growth in the capital, and offers value for money (VFM).",2016-04-01,2019-07-01,3500000,7000000,0.5,SE1 2JN,London,England,066 Advanced support services for SMEs and groups of SMEs,SE12JN,397420,51.501652955430295,-0.074014591874942
30,Newable Ltd,Innovate2Succeed (i2s),ERDF,1,"The project supports SMEs to enhance their innovation management capability, resulting in increased effectiveness in generating and commercially exploiting their ideas. This activity forms part of a programme being delivered across several Local Enterprise Partnership areas as part of Innovate UK’s agenda to increase innovation management capacity in small businesses.  It offers value for money (VFM) in line with national ERDF benchmarks.",2016-03-01,2019-03-31,500000,1000000,0.5,SE1 2JN,London,England,"064 – Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)",SE12JN,397420,51.501652955430295,-0.074014591874942
31,Cambridgeshire County Council,Connecting Cambridgeshire Phase 2 Superfast Broadband,ERDF,2,"Connecting Cambridgeshire has been allocated funding by government agency Broadband Delivery UK for a follow on phase to extend broadband deployment in Cambridgeshire and Peterborough. The Superfast Broadband Phase 2 funding is necessary to meet the government’s 95% superfast broadband coverage target by 2017 and must be matched with local funding.
Connecting Cambridgeshire’s Phase 2 project will address the market failure in broadband deployment in an intervention area which was identified from a new Open Market Review concluded in Oct 2014 by Connecting Cambridgeshire.",2015-08-07,2017-12-30,579245,1158492,0.5,CB3 0AP,Greater Cambridge & Greater Peterborough,England,046 ICT: High-Speed broadband network ,CB30AP,1487312,52.213019,0.11402791643764398
32,University of Surrey,Digital Business Acceleration Hubs,ERDF,1,Network of acceleration hubs in EM3 identified key growth towns.,2016-09-01,2019-12-31,1200000,2400000,0.5,GU2 7XH,Enterprise M3,England,"067 SME business development, support to entrepreneurship",GU27XH,1106218,51.2425705220664,-0.5879458956991479
33,Allia Ltd,"Future Business – Ideation, Innovation, Incubation",ERDF,3,"Future Business – Ideation, Innovation, Incubation is a comprehensive business support project driving social venture and environmental business start-up, survival and growth by maximising the use of existing innovation and incubation spaces. Through a series of targeted interventions it will stimulate entrepreneurial activity; support business start-ups; accelerate early stage businesses to improve survival and success rates; and incubate those with potential to scale and create both economic and social impact. It will also deliver an Innovation Lab – a test, prototype and demonstration facility for SMEs developing hardware.",2015-12-01,2019-01-31,853972,1707943,0.5,CB4 2HY,Greater Cambridge & Greater Peterborough,England,"067 SME business development, support to entrepreneurship",CB42HY,1758790,52.2348577023412,0.12922277250307002
34,University of Southampton,Innovation Network (IN),ERDF,1,"Strategic Fit and Value for Money requirements met. Through specialist innovation brokers and flexible forms of finance, SMEs will be supported to accelerate and increase the development of innovative products and services. Strong VFM has been demonstrated. The project will focus support on approx. 185 SMEs. Of the 5 Outputs, 2 will be delivered at an average unit cost of a third as compared to the Operational Programme's average unit costs and a further 2 at at an average unit cost of two thirds against the OP.",2017-01-01,2019-12-31,1500000,3000000,0.5,SO17 1RJ,Solent,England,062 Technology transfer and university-enterprise cooperation ,SO171RJ,315931,50.930491435657395,-1.3991193075779
35,Anglia Ruskin University,KEEP+ Innovation and Knowledge Exchange Project,ERDF,1,"• Increase innovation activity in SMEs 
• Strengthen local innovation networks and leverage opportunities for social innovation
• Leverage £10,009,072 of SME investment in R&I 
Strategic Fit and Value for Money requirements met.                                                                                           • Engage 278 SMEs in knowledge exchange, collaborative and contract R&I 
• Enable 72 new products and services to be introduced to the market 
• Enable 297 new products and services to be introduced to firms
• Support the creation of 200 new jobs
• Support 372 unique/specialist enterprises to innovate
• Provide grants to 120 SMEs                                                                                 VFM fulfilled against Government requirements with the % of the relevant LEPs targets proposed being commensurate or more favourable than the % of funding allocation being requested. Overall outputs proposed offer good VFM measured against average unit costs of the Operational Programme, although the average cost for C1 is slightly higher than the OP benchmark. Activity will align with but not duplicate national priorities, as delivered through Innovate UK.",2017-01-01,2020-03-31,9303112,18606224,0.5,CM1 1SQ,South East,England,"064 – Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)",CM11SQ,1439684,51.741381,0.474495
36,Anglia Ruskin University,REACTOR,ERDF,1,"REACTOR will stimulate innovation based economic growth by creating a cross-disciplinary, business led ecosystem to underpin the creation of an ‘applied games’ sector in the GCGP area. The project will provide expertise and support to new start-ups and SMEs to enable them to innovate new products through the application of games technologies, creative digital methodologies and knowledge exchange.

Specific Achievements:

Over 36 months REACTOR will:-
• Support 38 new enterprises and create 22 new jobs
• Provide innovation support to 93 SMEs 
• Enable 34 enterprises to create and launch new products or services",2016-07-01,2019-06-30,504272,1008544,0.5,CM1 1SQ,Greater Cambridge & Greater Peterborough,England,062 Technology transfer and university-enterprise cooperation ,CM11SQ,1439684,51.741381,0.474495
37,Reading Borough Council,Low Carbon Berkshire,ERDF,9,Support delivery of 4 targets by promoting awareness of ERDF opportunities.,2016-03-01,2018-05-01,49890,99780,0.5,RG1 2LU,Thames Valley and Berkshire,England,123 Information and communication,RG12LU,502666,51.451875,-0.972436
38,Reading Borough Council,Elevate Berkshire,ESF,1- Inclusive Labour Markets,"Elevate Berkshire aims to address the skills gap, unemployment and underemployment of Berkshire’s 16-24 year old population, by maximising the impact of collective investment to further enhance growth in this important economic area. Elevate Berkshire will be the catalyst to provide high quality, personalised advice and support to the hardest to reach young people, giving the real opportunity to undertake the right training, improve their skills, find an apprenticeship or get a job. 

",2015-11-01,2019-06-30,2400000,4800000,0.5,RG1 2LU,Thames Valley and Berkshire,England,"103 Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, including through the implementation of the Youth Guarantee",RG12LU,502666,51.451875,-0.972436
39,Oxfordshire County Council,Technical Assistance - Communicating ESIF Opportunities in Oxfordshire,ERDF,9,Strategic Fit and value for Money requirements met. Promote ERDF opportunities in Oxfordshire. VFM demonstrated by the ERDF value of the project representing only 0.67% of the total ERDF allocation for the Oxfordshire LEP Area. This is considered to be a reasonable outlay for the return in the form of high quality applications that will have been supported by experienced ERDF personnel within the Oxfordshire LEP Area Technical Assistance Team.,2017-01-01,2020-03-31,46336,92672,0.5,OX1 1ND,Oxfordshire,England,123 Information and communication,OX11ND,616802,51.751815,-1.26189602053604
40,Oxfordshire County Council,Oxfordshire Business Support - Start-Up & Growth,ERDF,3,Provide support infra-structure to accelerate SME formation.,2016-10-01,2019-12-31,1000000,2000000,0.5,OX1 1ND,Oxfordshire,England,"067 SME business development, support to entrepreneurship",OX11ND,616802,51.751815,-1.26189602053604
41,Oxfordshire County Council,Oxfordshire Business Support: Innovation Support for Business Programme (ISfB) Phase 2,ERDF,1,Physical and digital innovation support programme to connect research and innovation centres and SMEs,2017-04-01,2020-03-30,2579550,5159100,0.5,OX1 1ND,Oxfordshire,England,"064 – Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)",OX11ND,616802,51.751815,-1.26189602053604
42,Norfolk County Council,Building the Cultural Economy in New Anglia 2016-19,ERDF,3,"This project will deliver targeted, specialist business support to SMEs and start-ups in the cultural sector (music, theatre, literature), with match-funds from Arts Council England. We will support at least 180 SMEs to:

• Increase the number of start-ups and early stage survival rates. 
• Reduce the number of business closures. 
• Create sustainable opportunities for businesses at all stages of development to access growth support. 
• Ensure social and community enterprise start up and growth is integral to the landscape of specialist business support. 
• Support an increase in businesses developing plans and taking actions to improve their resilience and growth potential.",2016-10-01,2019-12-01,609769,1219539,0.5,NR1 2UA,New Anglia,England,066 Advanced support services for SMEs and groups of SMEs,NR12UA,666358,52.615176,1.30766249227246
43,Peterborough Environment City Trust ( formerly NWES),Business Energy Efficiency Cambridgeshire and Peterborough (BEECP),ERDF,4,"BEECP will provide one-to-one tailored and impartial energy efficiency support/facilitation and discretionary grants to catalyse investment in energy efficiency initiatives. 

It immediately builds visible local capacity and tangible results, bringing together experienced organisations and practitioners, expertise and key learning to provide a joined-up business energy efficiency service across the LEP area. It assists SMEs to invest-to-save to reduce carbon emissions and realise the associated business benefits: reduced operating costs; competitiveness; business growth; resilience through:
 
• 303 detailed on-site reviews to identify, prioritise and quantify opportunities for cost- and carbon-savings;
• The provision of delegated grant support to 124 to catalyse investment in low-carbon initiatives and cleantech, unlocking £1.37 million of private investment;
• The provision of specialist technical consultancy; 
• A verifiable reduction in GHG emissions of at least 733 tonnes of CO2e.",2016-07-01,2019-06-28,1368576,2744860,0.4986,PE1 1NA,Greater Cambridge & Greater Peterborough,England,068 Energy efficiency and demonstration projects in SMEs ,PE11NA,588271,52.572665,-0.245685031831524
44,Essex County Council,Transportation and Logistical Efficiencies,ERDF,3,Support to meet the needs of SMEs in the Logistics and other priority growth sectors where efficient logistics and supply chain operations are key to increasing productivity and the future growth of businesses.,2018-04-01,2021-03-31,2874974,5749948,0.5,CO4 3ZL,South East,England,001 Generic productive investment in SMEs,CO43ZL,1762205,51.880464,0.942755
45,Portsmouth City Council,Bridging the Gap,ERDF,3,£1.8M fund to support SMEs with potential for economic growth,2017-01-01,2019-12-31,1000000,2000000,0.5,PO6 3EZ,Solent,England,"056 investment in infrastructure, capacities and equipment in SMEs directly linked to research and innovation activities",PO63EZ,519053,50.840712752255705,-1.0828052014525
46,Oxford Innovation Services Ltd,Innovate to Succeed (i2s),ERDF,1,Tailored support to SMEs to enhance innovation management capability.,2016-04-01,2019-03-31,499976,999953,0.5,OX1 1BY,Enterprise M3,England,"067 SME business development, support to entrepreneurship",OX11BY,1800284,51.752313916000006,-1.2636536289
47,Oxford Innovation Services Limited,TVB Growth Hub,ERDF,3,"Strategic Fit and Value for Money requirements met. The project provides IDB, 1-2-1 account management and a 2 tier growth hub service for entrepreneurs, start-ups and SMEs to build the growth capacity of businesses. The project represents strong Value for Money with  6 of the measurable Outputs being delivered at an average unit cost that is significantly less than the Operational Programme's average unit cost. The application represents an ERDF investment of 24% of the LEP's financial allocation with 4 of the Output targets delivered by the project exceeding the LEP area's target and 2 others in alignment with the expected return in terms of Outputs targets against the ERDF investment.",2017-03-01,2021-02-28,734658,1474921,0.4981,OX1 1BY,Thames Valley and Berkshire,England,066 Advanced support services for SMEs and groups of SMEs,OX11BY,1800284,51.752313916000006,-1.2636536289
48,Oxford Innovation Services Ltd,Coaching for Growth,ERDF,3,This project will deliver 1-1 bespoke coaching for high growth businesses to help them realise their growth potential.,2015-11-01,2018-12-31,8201884,10252355,0.8,OX11BY,Cornwall and the Isles of Scilly,England,"067 SME business development, support to entrepreneurship",OX11BY,1800284,51.752313916000006,-1.2636536289
