,project_id,coordinator,total_budget,eu_contribution,background
18,5317,The Waste and Resources Action Programme,2104439.00,1262662.00,"The UK has identified electrical and electronic equipment (EEE) as priority products due to their high embodied carbon and their environmental impact as a waste stream. Each year around 9.9 million tonnes of WEEE is generated in the EU. Only 30% of WEEE generated is reported as properly collected and recycled. 
Many modern electrical and electronic products contain metals which have been classified as critical raw materials (CRMs) by the Commission. The supply and economic viability of CRMs are at risk in the EU, and these materials have higher impacts than other raw materials. Most CRMs are virtually unrecovered from WEEE. The high losses of CRMs are attributed to the current collection and recycling arrangements. In the UK, WRAP has explored the viability of recovering CRMs from the EEE waste streams and highlighted the need to find a wide-reaching solution."
19,5353,Environment Agency,1072400.00,643440.00,"Interpol and the United Nations Environment Programme estimate the cost of international environmental crime to be $213 billion (c. €188 billion) per year. This problem affects the EU as it does other regions. High levels of environmental crime can be partly attributed to inefficient and ineffective prosecution and sanctioning. Wildlife crime is notoriously difficult to prosecute because the law in this area is complex and because criminal circles are small, highly organised, closed and hard to penetrate. Chemical pollution and waste crimes also adversely impact biodiversity and many EU rivers are falling short of Water Framework Directive targets. Additionally, large-scale pollution incidents are complex, requiring transnational cooperation to successfully prosecute."
20,5439,Environment Agency,20031040.00,11988811.00,"One third of the poorest quality rivers in England and Wales are currently found in the North West (England) River Basin District (NW RBD). A range of factors combine in the NW RBD, which create several significant challenges to meeting the requirements of the Water Framework Directive (WFD). These factors make the NW RBD an ideal location for implementing actions to help improve delivery of WFD Annex VII (river basin management plans) and to demonstrate solutions for problems relevant to the rest of the European Community. These problems include:"
21,5347,Natural England,5004346.00,3002608.00,"The Broads Natura 2000 network site is situated near the eastern English coast in the county of Norfolk.  It is an internationally important wetland ecosystem and covers an area of 5 889 ha. Its lakes are a key biodiversity and iconic landscape feature that have suffered from a legacy of water quality issues. The Broads has a long-term restoration programme, which includes a Lake Restoration Plan that identifies and prioritises restoration actions."
22,5345,Peak District National Park Authority,15996416.00,11984887.00,"The South Pennine Moors’ Natura 2000 site is important for the EU priority habitat, active blanket bog. The conservation status of the site has, over the years, been unfavourable and under threat due to almost two centuries of heavy sulphate and nitrate pollution, leading to the destruction or severe depletion of the essential sphagnum cover of these moors. Fire damage has thus led to extreme levels of erosion that are now so widespread that not only is it difficult for sphagnum to become re-established but even those areas which have managed to retain sphagnum cover remain under continued threat of further erosion and new fires."
23,5346,The Royal Society for the Protection of Birds,3229020.00,2421765.00,"Listed in Annex I of the Birds Directive, the roseate tern (<i>Sterna dougallii</i>) is classed as ‘Rare in Europe’ by BirdLife International and is a Species of European Conservation Concern. It breeds in just two areas of Europe, namely the Azores and the far northwest. The northwest metapopulation is spread across a small number of sites in France, Ireland and the UK; the French sites have recently been targeted by a LIFE project (LIFE05 NAT/F/137), and this new project was designed to build on the previous one."
24,5344,Royal Society of Wildlife Trusts,2699565.00,1619741.00,"The presence of the invasive alien grey squirrel (<i>Sciurus carolinensis</i>) in the UK is detrimental to several native species and the overall health and resilience of affected woodland ecosystems. The native Eurasian red squirrel (<i>Sciurus vulgaris</i>) is particularly threatened by grey squirrels, but to date there has been no clear pan to stem its population growth. A collaborative management framework that crosses administrative boundaries is required. Currently, the approach to grey squirrel management lacks coordination, focus and adequate funding. Anglesey is a 720 km2 island in North Wales from which grey squirrels have recently been eradicated."
25,5184,BirdLife,837995.00,500000.00,"Species action plans (SAPs) for non-huntable bird species and management plans (MPs) for huntable bird species have expired, while new conservation strategies need to be developed for some species that are showing sharp population declines. Furthermore, a new conservation approach that identifies and addresses groups of bird species sharing similar habitat conditions (e.g. grasslands) needs to be tested."
26,4893,Game & Wildlife Conservation Trust,1254638.00,627319.00,"The River Avon develops into a large calcareous lowland river south of Salisbury. The floodplain consists of humid, species-rich grassland, with ditches and some standing water usually persisting through the spring months. The traditional farming pattern of the valley reflects the propensity for winter flooding. In 1982, the Avon Valley constituted one of the top eight lowland wet grassland sites in England for breeding waders. It has historically supported nationally important populations of breeding northern lapwing (<i>Vanellus vanellus</i>), redshank (<i>Tringa totanus</i>) and common snipe (<i>Gallinago gallinago</i>). However, numbers of breeding waders in the Avon Valley have decreased dramatically, with declines of 64% in lapwing, 75% in redshank and 97% in snipe recorded from 1982 to 2002. This is mainly due to the agricultural improvement of wet grassland habitats involving drainage, fertilisation of grass swards, increased livestock densities, and high rates of nest predation. Monitoring of lapwing breeding success over recent years has shown that it is currently too low for the maintenance of a stable breeding population."
27,4942,Scottish Natural Heritage,3132695.00,1566344.00,"Habitat fragmentation is recognised as one of the major challenges facing the conservation of habitats and species in a changing climate. The EU 2020 Biodiversity Strategy highlights that many ecosystems within the EU have been degraded by habitat fragmentation. Fragmented habitats are often less biodiverse and of poorer quality, with a larger edge-to-habitat ratio, than larger or less fragmented habitat patches. Habitat fragmentation results in diminished ecological coherence and potential reductions in ecosystem services. Both the EU Habitats Directive and the revised Scottish Biodiversity Strategy recognise the contributing effect of habitat fragmentation on ecosystem degradation, and the need to create a fully functioning, ecologically coherent network. The Central Scotland Green Network (CSGN) area is Scotland’s most heavily fragmented lowland area, comprising just 13% of Scotland’s land area yet home to 70% of the population and most of its industry."
28,4943,Croda Europe Ltd,11179407.00,1996370.00,"The oleochemical industry is an important sector of European industry that produces a variety of high-value chemicals from renewable sources. These sources can be vegetable based (rape oil) or animal based (animal fat). In each case crude glycerine is produced as a by-product of the production processes. To be able to sell this by-product producers need to refine it into pure glycerine. Pure glycerine in itself is non-toxic and non-irritating with no known environmental impact. It has over 1500 known end uses in cosmetics, toiletries, personal care, drugs and food product. However, the processing necessary to achieve pure glycerine is very energy and water intensive. On top of consuming high amounts of energy for the refining process and transportation and water, the process also requires the bleaching and cleaning of processing equipment using aggressive chemicals such as phosphoric acid and caustic soda. The waste produced during the procedure is either discharged into surface water or dumped in old salt mines. In addition, the demand for pure glycerine is low compared to the amount of crude glycerine available and this means it has now become a low-value by-product in danger of becoming a waste product. As such the process of refining glycerine is unsustainable both environmentally and economically."
29,4945,Groundwork London,1122721.00,534642.00,"The United Kingdom, in common with all other EU states, has placed the responsibility for collection and management of waste on local and regional government. Over the last 20 years or so, this role has moved from one of simple waste collection to the introduction of recycling services and, latterly, an increased focus on re-use and waste prevention. This has been delivered with varying degrees of success, with one particularly challenging area being the provision of such services in high- and low-rise housing estates. In such urban estates, re-use levels of key household products, such as clothes and electrical equipment, are currently very low. High levels of illegal dumping also occur in urban areas in the UK, which contributes to the low levels of environmental quality in many of these areas."
30,5009,WWF-UK,2249728.00,1124414.00,"Freshwater ecosystems provide a vital service for people, economies and nature. Throughout Europe they are under pressure due to pollution, morphological change, increasing water consumption, climate change and other factors. The EU Water Framework Directive (WFD) was introduced in 2000 to impose firm timetables for reversing the long-term decline in Europe’s freshwater environment. The directive’s main objective is the achievement of “good ecological status” (GES) in all European water bodies by 2015. However, the implementation of the WFD across Europe has been inadequate, according to an EC assessment of River Basin Management Planning (RBMP) in 2012, which contained recommendations for a second cycle of RBMP aimed at achieving WFD goals. The most important challenges to be overcome for effective WFD delivery were listed as: low ambition to implement the framework directive with no new policies; existing mechanisms focusing only on direct polluters and not supply-chain stakeholders or indirect polluters; lack of transparency in decision-making; limited knowledge exchange across the EU; and ineffective implementation of programmes of measures."
31,4960,Scottish Environment Protection Agency,4325101.00,2146825.00,"Waste streams that are of low quality and value, or are difficult to treat, persistently attract criminal activities that profit at the expense of the environment and legitimate operators in Europe’s waste industry. These illegal practises are ever-changing and are not easily visible. For environmental and partner bodies, there are big gaps in understanding how such illegal markets behave and how to tackle criminal behaviour. This poses major challenges, but also opportunities for innovation."
32,4930,Shanks Group plc,10846447.00,1414993.00,"Glycerine (a colourless, odourless and non-toxic alcohol) is used in a wide range of applications in the medical, pharmaceutical, cosmetic and food industries. The production of bio-diesel has increased significantly in recent years, which has led to a surplus in its principle by-product, crude glycerine. Crude glycerine used to be a valuable commodity but because of this excess, it is now considered to be a low value by-product. Its quality is also variable and it has impurities that affect, and increase the operational costs of, industrial processes."
33,5018,The Royal Society for the Protection of Birds,1116088.00,558044.00,"The Shiant Isles Natura 2000 network site is a key site for seabirds. However, the site faces several threats, including the presence of invasive rats that predate important seabird colonies. When conditions were last assessed in 2008, both of the seabirds covered by the assessment – razorbill (<i>Alca torda</i>) and common guillemot (<i>Uria aalge</i>) – were classified as ‘unfavourable declining’. At present, few biosecurity plans exist for islands such as the Shiants, and no clear best practice guidelines are available. As a result, many key breeding colonies are vulnerable to invasions by alien species, and managers are ill prepared to respond to such invasions. Preparatory work for the LIFE project suggested that a sustainable eradication of rats was feasible at a reasonable cost on the Shiant Isles, particularly given their remote location."
34,4935,The Royal Society for the Protection of Birds,2269932.00,1134966.00,"The hen harrier (<i>Circus cyaneus</i>) is a species of European conservation concern and is listed in Annex I of the Birds Directive. After several decades of recovery in the UK, the population is currently declining. While the reason for this is not fully understood, it is clear that illegal persecution associated with commercial shooting of red grouse (<i>Lagopus lagopus scoticus</i>) is a significant factor. The decline is particularly serious in northern England and southern and eastern Scotland, where the hen harrier is nearing extinction as a breeding species. Other factors that are likely to be impacting breeding success include inappropriate land management, human disturbance, and predation of eggs and young from nests. Recent analyses published by the UK government indicate that enough suitable habitat exists to support up to 2 650 pairs in the whole of the UK (compared to 630 pairs in 2010), suggesting that, in the long term, the potential for population growth in the absence of persecution is significant."
35,4948,Natural England,6585236.00,3292618.00,"The area of relatively undisturbed lowland raised bog in the UK has diminished by about 94%, from 95 000 ha to 6 000 ha, over the past century. Up to 90% of lowland raised bogs have been modified, damaged or destroyed by past management activities such as peat cutting, drainage, forestry or agriculture, while three quarters of the habitat area is in poor condition. The county of Cumbria in north-west England still has 5 480 ha of lowland raised bog, of which 1 178 ha is degraded. Therefore, there is an urgent conservation need to restore these raised bogs."
36,5075,Natural England,5592243.00,2638276.00,"The Humberhead Peatlands NNR, located northeast of Doncaster, Yorkshire, is the UK’s largest lowland raised bog complex. It is part of the Natura 2000 network, consisting of several sites in two neighbouring areas: Thorne Moors (including the Goole &amp; Crowle Moors) and Hatfield Moors. These sites are breeding sites for European nightjar (<i>Caprimulgus europaeus</i>). Over the years, however, large amounts of peat have been removed from the edges of the central areas of these moors, changing their topography. Peat-forming vegetation only grows if water levels are within +/- 20 cm of the peat’s surface. However, the topographic changes mean achieving such a hydrological balance is a challenge. Water needs to be more efficiently drained from the milled areas during peak rainfall, while there is also a need for terracing across the peatlands to retain water during dry periods. In some areas, on older peat cuttings, work is also required to remove scrub and raise water levels to around ground level."
37,4753,"The Chancellor, Masters and Scholars of the University of Oxford",1829416.00,914708.00,"One of the biggest threats to the global environment is land-use change. It is estimated that some 1 500 ha of ecologically rich land is lost every day to development in the EU. The sale and subsequent development of such land – by private and public landowners – can have significant environmental costs. For example, there is particular concern with regard to the effects of deforestation and the loss of peatlands on levels of atmospheric CO2."
38,4751,The Waste and  Resources Action Programme (WRAP),3104725.00,1552361.00,"Domestic material consumption (DMC) in the EU reached 8.2 billion tonnes in 2007, 13% of all materials extracted globally. The annual average per capita material consumption in the EU was some 65% above the global average. The supply of stable, secure resources, however, is now constrained, while the global population continues to grow and the ‘middle class’, with increased levels of consumption, expands rapidly."
39,4754,Forestry Commission Research Agency,2193909.00,1096693.00,"Preserving tree health is vital to human health and the natural environmental. It is also fundamental to combating climate change. However, trees in all situations are increasingly affected by health threats, with research showing across-the-board increases in damaging fungal infections. Around 11 million ha of EU forests (6%) are affected by forest damage, including many new pests and pathogens that have been introduced since 1900."
40,4758,Ellen MacArthur Foundation,381780.00,190889.00,"The economy has typically had one fundamental characteristic: a linear model of resource consumption that follows a ‘take-make-dispose’ approach. Companies harvest and extract materials, use them to manufacture a product, and sell the product to a consumer, who then discards it when it no longer serves its purpose. A linear system not only demonstrates a very inefficient use of natural resources, but disposal of a product in landfill means that all its residual energy is lost. The incineration or recycling of discarded products recoups a small share of this energy, whereas re-use saves significantly more energy. The use of energy resources in a linear production model is typically most intensive in the upstream parts of the supply chain - i.e. the steps involved in extracting materials from the earth and converting them into a commercially usable form. In contrast, a circular economy is an industrial system that is restorative or regenerative by intention and design. It replaces the ‘end-of-life’ concept with restoration, a shift towards the use of renewable energy, and it aims to eliminate waste through the superior design of materials, products, systems, and business models."
41,4752,Groundwork London,1615636.00,807818.00,"Home to dense populations, industries and infrastructure, urban areas are likely to suffer the most severe impacts of climate change. The anticipated increased pressure on hydrological processes and the increasing prevalence of the urban ‘heat island’ effect, especially during summer months, will cause significant additional stresses in urban areas. Threats include increased flooding, pressure on sewer systems, diffuse water pollution and heat stress."
42,4755,Royal Society for the Protection of Birds,3287140.00,1643570.00,"The decline in the population of the little tern (<i>Sterna albifrons</i>) in the UK since the 1990s is a cause for concern. The principal threat to this shore nesting species is from human disturbance. After a decline between the 1930s and 1960s, the population recovered through protection and surveillance by wardens of breeding sites. However, in recent years the population has fallen again due to a range of factors, including disturbance, predation, habitat change and high tides linked to summer storms. There has been a reduction in the number of colonies, a loss of range in the west of the UK and, in general, there are poor levels of productivity. Sea-level rise also poses a threat to a number of current colonies. The total UK population is estimated to be less than 2 000 breeding pairs. The project will be the first nationally co-ordinated programme of action for the species, working with 29 colonies (about 65% of the total population) in 15 Special Protection Areas (SPAs) of the Natura 2000 network."
43,4759,Fauna & Flora International,3264811.00,2448608.00,"The Carpathian Mountains are an important biodiversity reservoir for the brown bear (<i>Ursos arctos</i>) and wolf (<i>Canis lupus</i>). However, an assessment of environmental suitability for large carnivores (LCIE 2008) identified the isolation of the Apuseni Mountains (Western Carpathians) from the Southern Carpathians in Romania as a pressing connectivity issue. Passing through a network of 17 Natura 2000 sites, the Apuseni Link is fragmented, but is the only key route through which bears, wolves and other wildlife can move between the Western and Southern Carpathians. It is therefore crucial to ensure that the bears and wolves in the Apuseni Mountains do not become demographically, genetically or ecologically isolated and thus to advance the process to achieve and maintain the favourable conservation status of both the bear and wolf in this region."
44,4244,Greater Manchester Waste Disposal Authority,1402470.00,685232.00,"In moving towards a European society based on the principles of waste prevention, reuse and recycling, a two-pronged approach is required. The first is to provide EU citizens with the necessary services, infrastructure, products and knowledge. The second is to engage EU citizens to make changes to their lifestyles that will reduce consumption, and to encourage them to sort waste for reuse and recycling. To achieve these goals, public participation is key to both implementing and driving forward the principles of the waste hierarchy. However, public participation varies greatly on a geographical basis, with huge variations in recycling levels across Europe and large variations within countries. In the UK, areas characterised by high-to-middle income and low-density housing are currently achieving high levels of recycling (up to 70%), whereas densely-populated urban areas are achieving much lower levels. Approximately 50% of the EU’s population lives in densely populated areas (Eurostat, 2010), so engaging with these citizens is vital for the implementation of the principles of the waste hierarchy."
45,4218,WWF-UK,3963025.00,1973546.00,"The Celtic Seas encompasses the western seaboard of the UK and the Republic of Ireland, the coasts and territorial waters to the north of Scotland and south to Brittany in northern France. The European Atlas of the Seas describes this area as a very windy stretch of water that has long been a busy shipping area with intensive fishing activity – small-scale in the south and deep-sea fishing in the north. Over the past 20 years, aquaculture (fish and sea-food farms) has taken off more strongly and diversified more here than in other marine regions. In coastal areas, there is an active and varied tourist industry. Some 23 million people live in and around the Celtic Seas and many more across Europe depend on the area for their livelihoods and wellbeing."
46,4246,Environment Agency of England & Wales,2934952.00,1436926.00,"Methane (CH4) is a potent greenhouse gas with 21 times the global warming potential of carbon dioxide (CO2). At a global level, the methane in landfill gas contributes to climate change. The UK, and the European Union generally, has a huge legacy of closed landfill sites, many of which are derelict or under-used. They represent a significant liability because of their potential to be sources of migrating toxic contaminants and landfill gas. There are approximately 20 000 closed landfill sites in the UK. A recent trial conducted by the Environment Agency indicated accessible whole-site landfill methane volumes of around 100-150 m3/hr. Using methane from closed landfill sites to generate energy presents an alternative to non-renewable fossil fuels, reduces greenhouse gas emissions, and can contribute to the green economy."
47,4351,The Royal Society for the Protection of Birds,1654692.00,823032.00,"The stone-curlew (<i>Burhinus oedicnemus</i>) is listed in Annex I of the Birds Directive, categorised as “vulnerable” in the IUCN European Red List, and classified by BirdLife International as a “Species of European Conservation Concern”. It occurs across much of Europe but its total population is comparatively small (46 000 - 78 000 pairs). Its European population underwent a large decline between 1970 and 1990 and again between 1990 and 2000. During the latter period some national populations remained more or less stable but others decreased significantly, including in Spain, the species’ European stronghold. In addition, the species became extinct in Germany, Poland and the Czech Republic. The decline over the 27 years prior to 2000 exceeded 30%."
48,4311,Scottish Natural Heritage,4617398.00,2293990.00,"The freshwater pearl mussel (<i>Margaritifera margaritifera</i>) is declining dramatically throughout its range and is under grave threat in the UK, as in other areas of its EU distribution. The British populations of the freshwater pearl mussel, which is highlighted for conservation under Annex II of the Habitats Directive, have been adversely affected by multiple issues, including wildlife crime (removal in order to sell the pearls), habitat degradation and declining water quality."
49,4328,Natural England,3575345.00,1787672.00,"Natural England has defined 40 reasons why 33 000 ha of Natura 2000 network sites are not in a “favourable” or “recovering” condition. The top 20 reasons by area include factors relating to pollution, water levels, over- and under-grazing, and the impact of invasive species. The scale and complexity of the task is significant – both the scale of ensuring all Natura 2000 features are under recovery management and the much greater task of ensuring they remain in recovery. Many of the remaining reasons for adverse conditions and newly emerging risks are complex and require a strategic approach across the affected sites to ensure they are addressed in a lasting way. A coherent programme across all English Natura 2000 network sites presents the best opportunity to deliver these outcomes."
50,4337,Natural Resources Wales (replaced Countryside Council for Wales),1330276.00,665138.00,"In Wales (United Kingdom) some 8.5% of land area (including intertidal areas) is within Natura 2000 sites, with special areas of conservation (SACs) covering 7.5% of the land area, and special protection areas (SPAs) covering 4.8 % of the land area. Approximately 35% of Wales’ territorial waters are within Natura 2000 sites. These sites support a significant proportion of the habitat types and species of Community interest that occur in the UK."
51,4320,The Royal Society for the Protection of Birds,1107871.00,553935.00,"The Isles of Scilly lie at the centre of a large network of Natura 2000 sites covering 26 851 ha. The archipelago is home to the following habitats and species: sandbanks that are slightly covered by seawater all of the time; mudflats and sandflats not covered by seawater at low tide reefs; shore dock (<i>Rumex rupestris</i>), grey seal (<i>Halichoerus grypus</i>) and the project’s main target bird species, the storm petrel (<i>Hydrobates pelagicus</i>) and Manx shearwater (<i>Puffinus puffinus</i>). In addition, the Isles of Scilly contains SSSIs of national importance for vascular plant species, vascular plant associations, breeding shorebirds and lichens. 
Project actions will take place mainly on the islands of St Agnes and Gugh in the southern part of the Scilly SPA. These are two separate islands that are connected by a rock and sand bar at low tide. St Agnes (105 ha) has cultivated farmland at its centre, surrounded by heathland, maritime heath, a few wooded areas and sandy and rocky shores. Gugh (37 ha) has regenerating heathland, maritime heath, marram dunes, a small wooded area and a rocky shoreline. The brown rat (<i>Rattus norvegicus</i>) is widespread and abundant on both islands, and was probably introduced as a result of shipwrecks in the 18th century. The presence of brown rats (estimated at 3 300 individuals) is responsible for the loss of adults, young and eggs of both the main target bird species within the Isles of Scilly site, and is therefore affecting the population sizes and distributions of these species."
52,3936,WWF-UK,2078844.00,1039422.00,"Food consumption patterns in Europe are currently unsustainable. The EU Environmental Impact of Products (EIPRO) report calculates that the food sector in the EU (considering the entire supply chain from ""farm to fork"") accounts for some 31% of EU greenhouse gas (GHG) emissions and 20-30% of most categories of environmental burden. Few consumer campaigns focus on the environmental sustainability of European diets in terms of factors such as water resources and climate change impacts. However, developing a better understanding of what constitutes a sustainable diet is essential for a healthy population, environmental sustainability, and food and energy security. Sustainability criteria for food systems have been developed in the UK, and more work is required to determine the composition of sustainable diets across the EU."
53,3989,The Environment Agency of England and Wales,3225833.00,1612916.00,"Parent companies and their subsidiaries can play a key role in combating many environmental problems: economic growth and environmental damage are closely correlated. However, linking parent company environmental performance and financial performance in a form that is relevant to investors will contribute to de-coupling economic growth from environmental damage. It is also recognised that influencing decisions at the highest level of accountability, ultimately the board of the parent company, can be highly effective in bringing about far-reaching improvements in environmental performance.
A single business or a geographical area is subject to a range of environmental laws each requiring different datasets for permitting, compliance, monitoring, incidents and enforcement. A challenge facing regulators such as the EA is that the data that they gather to support the implementation of specific environmental laws do not easily or usefully align with the businesses they regulate or the geographical areas where improvements to the environment are needed. Instead regulators are limited to looking at data in isolated, disconnected datasets which prevents them from seeing clearly the environmental performance of a whole company or the environmental impacts on a region. Integrated data and information can provide regulators with the evidence to best target resources to protect the environment and people by offering a clear view of those businesses that are performing well and those that are performing badly.
The EA collects site level data on more than 500 000 businesses, many of which are owned by global parent companies based in more than 30 different countries."
